#2023/09/22 10:19:50
time,fog,T
2.38840,0.00000,35.5
2.39880,0.00000,35.5
2.40820,0.00000,35.5
2.41860,0.00000,35.5
2.42800,0.00000,35.5
2.43840,0.00000,35.5
2.44880,0.00000,35.5
2.45830,0.00000,35.5
2.46870,0.00000,35.5
2.47800,0.00000,35.5
2.48850,0.00000,35.5
2.49890,0.00000,35.5
2.50830,0.00000,35.5
2.51880,0.00000,35.5
2.52820,1.50000,35.5
2.53860,0.00000,35.5
2.54800,0.00000,35.5
2.55840,0.00000,35.5
2.56880,0.00000,35.5
2.57830,0.00000,35.5
2.58870,1.50000,35.5
2.59820,1.50000,35.5
2.60870,1.50000,35.5
2.61810,-1.50000,35.5
2.62860,0.00000,35.5
2.63800,1.50000,35.5
2.64840,0.00000,35.5
2.65790,0.00000,35.5
2.66830,0.00000,35.5
2.67880,0.00000,35.5
2.68820,0.00000,35.5
2.69860,0.00000,35.5
2.70810,0.00000,35.5
2.71860,1.50000,35.5
2.72810,0.00000,35.5
2.73850,0.00000,35.5
2.74790,-1.50000,35.5
2.75840,0.00000,35.5
2.76780,0.00000,35.5
2.77830,0.00000,35.5
2.78870,0.00000,35.5
2.79810,-1.50000,35.5
2.80860,0.00000,35.5
2.81800,0.00000,35.5
2.82830,-1.50000,35.5
2.83780,1.50000,35.5
2.84830,1.50000,35.5
2.85780,-1.50000,35.5
2.86820,0.00000,35.5
2.87860,1.50000,35.5
2.88800,-1.50000,35.5
2.89840,0.00000,35.5
2.90790,0.00000,35.5
2.91830,0.00000,35.5
2.92770,0.00000,35.5
2.93820,-1.50000,35.5
2.94870,0.00000,35.5
2.95810,0.00000,35.5
2.96850,0.00000,35.5
2.97790,0.00000,35.5
2.98830,0.00000,35.5
2.99770,0.00000,35.5
3.00810,0.00000,35.5
3.01850,0.00000,35.5
3.02790,0.00000,35.5
3.03830,0.00000,35.5
3.04770,0.00000,35.5
3.05810,0.00000,35.5
3.06750,-1.50000,35.5
3.07800,-1.50000,35.5
3.08840,0.00000,35.5
3.09780,0.00000,35.5
3.10820,0.00000,35.5
3.11760,0.00000,35.5
3.12800,0.00000,35.5
3.13840,0.00000,35.5
3.14780,1.50000,35.5
3.15830,0.00000,35.5
3.16770,1.50000,35.5
3.17810,0.00000,35.5
3.18750,-1.50000,35.5
3.19790,0.00000,35.5
3.20830,0.00000,35.5
3.21770,0.00000,35.5
3.22800,0.00000,35.5
3.23850,-1.50000,35.5
3.24790,0.00000,35.5
3.25820,-1.50000,35.5
3.26760,0.00000,35.5
3.27800,0.00000,35.5
3.28740,0.00000,35.5
3.29780,-1.50000,35.5
3.30830,0.00000,35.5
3.31770,-1.50000,35.5
3.32830,0.00000,35.5
3.33760,-1.50000,35.5
3.34810,0.00000,35.5
3.35740,0.00000,35.5
3.36790,0.00000,35.5
3.37740,-1.50000,35.5
3.38790,0.00000,35.5
3.39730,1.50000,35.5
3.40790,0.00000,35.5
3.41730,1.50000,35.5
3.42780,0.00000,35.5
3.43820,1.50000,35.5
3.44760,0.00000,35.5
3.45800,0.00000,35.5
3.46750,0.00000,35.5
3.47790,-1.50000,35.5
3.48740,0.00000,35.5
3.49780,0.00000,35.5
3.50830,-1.50000,35.5
3.51770,0.00000,35.5
3.52820,-1.50000,35.5
3.53760,-1.50000,35.5
3.54810,0.00000,35.5
3.55750,0.00000,35.5
3.56800,1.50000,35.5
3.57750,1.50000,35.5
3.58800,1.50000,35.5
3.59740,0.00000,35.5
3.60780,1.50000,35.5
3.61720,1.50000,35.5
3.62770,0.00000,35.5
3.63810,0.00000,35.5
3.64760,0.00000,35.5
3.65800,0.00000,35.5
3.66740,-1.50000,35.5
3.67780,0.00000,35.5
3.68720,0.00000,35.5
3.69750,0.00000,35.5
3.70790,0.00000,35.5
3.71730,0.00000,35.5
3.72770,0.00000,35.5
3.73710,0.00000,35.5
3.74750,0.00000,35.5
3.75790,0.00000,35.5
3.76720,0.00000,35.5
3.77760,0.00000,35.5
3.78800,0.00000,35.5
3.79730,0.00000,35.5
3.80780,0.00000,35.5
3.81720,0.00000,35.5
3.82770,1.50000,35.5
3.83720,-1.50000,35.5
3.84760,0.00000,35.5
3.85810,-1.50000,35.5
3.86750,0.00000,35.5
3.87790,0.00000,35.5
3.88740,1.50000,35.5
3.89780,0.00000,35.5
3.90720,-1.50000,35.5
3.91760,0.00000,35.5
3.92710,1.50000,35.5
3.93750,0.00000,35.5
3.94790,0.00000,35.5
3.95740,0.00000,35.5
3.96780,0.00000,35.5
3.97720,0.00000,35.5
3.98760,0.00000,35.5
3.99700,0.00000,35.5
4.00750,0.00000,35.5
4.01700,0.00000,35.5
4.02750,0.00000,35.5
4.03790,-1.50000,35.5
4.04740,0.00000,35.5
4.05780,0.00000,35.5
4.06720,0.00000,35.5
4.07770,1.50000,35.5
4.08720,-1.50000,35.5
4.09760,0.00000,35.5
4.10710,0.00000,35.5
4.11750,0.00000,35.5
4.12690,0.00000,35.5
4.13730,-1.50000,35.5
4.14770,0.00000,35.5
4.15710,0.00000,35.5
4.16760,0.00000,35.5
4.17700,1.50000,35.5
4.18740,-1.50000,35.5
4.19690,-1.50000,35.5
4.20730,0.00000,35.5
4.21770,0.00000,35.5
4.22710,0.00000,35.5
4.23750,0.00000,35.5
4.24690,1.50000,35.5
4.25730,1.50000,35.5
4.26780,0.00000,35.5
4.27720,0.00000,35.5
4.28760,0.00000,35.5
4.29700,0.00000,35.5
4.30750,0.00000,35.5
4.31690,1.50000,35.5
4.32730,0.00000,35.5
4.33770,0.00000,35.5
4.34710,0.00000,35.5
4.35760,1.50000,35.5
4.36700,1.50000,35.5
4.37760,0.00000,35.5
4.38700,0.00000,35.5
4.39750,0.00000,35.5
4.40690,0.00000,35.5
4.41730,0.00000,35.5
4.42670,-1.50000,35.5
4.43720,0.00000,35.5
4.44660,0.00000,35.5
4.45710,0.00000,35.5
4.46750,0.00000,35.5
4.47690,0.00000,35.5
4.48730,0.00000,35.5
4.49670,0.00000,35.5
4.50710,0.00000,35.5
4.51750,1.50000,35.5
4.52690,0.00000,35.5
4.53730,0.00000,35.5
4.54670,-1.50000,35.5
4.55720,1.50000,35.5
4.56660,0.00000,35.5
4.57710,0.00000,35.5
4.58740,0.00000,35.5
4.59680,0.00000,35.5
4.60720,1.50000,35.5
4.61670,1.50000,35.5
4.62720,0.00000,35.5
4.63660,0.00000,35.5
4.64700,0.00000,35.5
4.65740,0.00000,35.5
4.66670,0.00000,35.5
4.67710,0.00000,35.5
4.68650,0.00000,35.5
4.69700,0.00000,35.5
4.70740,0.00000,35.5
4.71680,0.00000,35.5
4.72720,0.00000,35.5
4.73660,0.00000,35.5
4.74700,0.00000,35.5
4.75740,0.00000,35.5
4.76680,0.00000,35.5
4.77710,-1.50000,35.5
4.78660,0.00000,35.5
4.79700,0.00000,35.5
4.80640,1.50000,35.5
4.81680,0.00000,35.5
4.82720,0.00000,35.5
4.83660,0.00000,35.5
4.84700,0.00000,35.5
4.85640,0.00000,35.5
4.86690,0.00000,35.5
4.87720,0.00000,35.5
4.88660,0.00000,35.5
4.89700,0.00000,35.5
4.90640,0.00000,35.5
4.91680,0.00000,35.5
4.92720,0.00000,35.5
4.93660,1.50000,35.5
4.94700,0.00000,35.5
4.95640,0.00000,35.5
4.96690,0.00000,35.5
4.97720,0.00000,35.5
4.98670,0.00000,35.5
4.99700,0.00000,35.5
5.00640,0.00000,35.5
5.01680,0.00000,35.5
5.02630,0.00000,35.5
5.03670,1.50000,35.5
5.04720,-1.50000,35.5
5.05660,0.00000,35.5
5.06710,0.00000,35.5
5.07650,1.50000,35.5
5.08700,0.00000,35.5
5.09640,0.00000,35.5
5.10680,0.00000,35.5
5.11630,0.00000,35.5
5.12670,-1.50000,35.5
5.13710,0.00000,35.5
5.14660,0.00000,35.5
5.15700,-1.50000,35.5
5.16650,-1.50000,35.5
5.17700,-1.50000,35.5
5.18640,-1.50000,35.5
5.19690,0.00000,35.5
5.20630,1.50000,35.5
5.21680,0.00000,35.5
5.22620,0.00000,35.5
5.23660,0.00000,35.5
5.24710,-1.50000,35.5
5.25650,-1.50000,35.5
5.26690,-1.50000,35.5
5.27640,1.50000,35.5
5.28680,0.00000,35.5
5.29620,0.00000,35.5
5.30660,-1.50000,35.5
5.31620,0.00000,35.5
5.32660,0.00000,35.5
5.33700,1.50000,35.5
5.34650,0.00000,35.5
5.35690,0.00000,35.5
5.36630,0.00000,35.5
5.37680,-1.50000,35.5
5.38620,-1.50000,35.5
5.39670,0.00000,35.5
5.40610,0.00000,35.5
5.41650,0.00000,35.5
5.42600,0.00000,35.5
5.43650,0.00000,35.5
5.44690,0.00000,35.5
5.45630,0.00000,35.5
5.46680,0.00000,35.5
5.47620,0.00000,35.5
5.48670,0.00000,35.5
5.49610,0.00000,35.5
5.50650,1.50000,35.5
5.51600,0.00000,35.5
5.52640,0.00000,35.5
5.53680,0.00000,35.5
5.54620,1.50000,35.5
5.55660,-1.50000,35.5
5.56600,-1.50000,35.5
5.57650,1.50000,35.5
5.58600,0.00000,35.5
5.59640,0.00000,35.5
5.60690,-1.50000,35.5
5.61630,1.50000,35.5
5.62670,0.00000,35.5
#2023/09/22 10:19:56
