#2023/09/04 13:48:41
time,fog,T
0.23870,10.99792,41.0
0.24890,-0.00208,41.0
0.25870,-0.00208,41.0
0.26900,0.99792,41.0
0.27870,-1.00208,41.0
0.28860,1.99792,41.0
0.29870,1.99792,41.0
0.30860,1.99792,41.0
0.31870,0.99792,41.0
0.32860,-1.00208,41.0
0.33870,-1.00208,41.0
0.34860,-2.00208,41.0
0.35870,0.99792,41.0
0.36860,-0.00208,41.0
0.37880,0.99792,41.0
0.38850,0.99792,41.0
0.39840,-0.00208,41.0
0.40850,-0.00208,41.0
0.41840,-0.00208,41.0
0.42850,1.99792,41.0
0.43840,-0.00208,41.0
0.44850,5.99792,41.0
0.45840,5.99792,41.0
0.46850,1.99792,41.0
0.47840,1.99792,41.0
0.48860,0.99792,41.0
0.49840,2.99792,41.0
0.50820,-1.00208,41.0
0.51840,5.99792,41.0
0.52820,2.99792,41.0
0.53840,4.99792,41.0
0.54820,1.99792,41.0
0.55830,6.99792,41.0
0.56820,7.99792,41.0
0.57830,-1.00208,41.0
0.58820,1.99792,41.0
0.59800,0.99792,41.0
0.60820,-1.00208,41.0
0.61800,2.99792,41.0
0.62820,4.99792,41.0
0.63800,3.99792,41.0
0.64820,5.99792,41.0
0.65800,0.99792,41.0
0.66820,0.99792,41.0
0.67800,0.99792,41.0
0.68820,4.99792,41.0
0.69800,2.99792,41.0
0.70780,5.99792,41.0
0.71800,0.99792,41.0
0.72780,0.99792,41.0
0.73800,1.99792,41.0
0.74780,2.99792,41.0
0.75800,0.99792,41.0
0.76780,3.99792,41.0
0.77800,-1.00208,41.0
0.78780,-3.00208,41.0
0.79760,1.99792,41.0
0.80780,0.99792,41.0
0.81760,2.99792,41.0
0.82780,1.99792,41.0
0.83760,0.99792,41.0
0.84780,-3.00208,41.0
0.85760,5.99792,41.0
0.86780,5.99792,41.0
0.87760,5.99792,41.0
0.88780,4.99792,41.0
0.89760,-0.00208,41.0
0.90750,2.99792,41.0
0.91760,4.99792,41.0
0.92740,1.99792,41.0
0.93760,0.99792,41.0
0.94740,1.99792,41.0
0.95760,3.99792,41.0
0.96740,2.99792,41.0
0.97760,6.99792,41.0
0.98740,4.99792,41.0
0.99760,3.99792,41.0
1.00740,1.99792,41.0
1.01730,3.99792,41.0
