#2023/09/17 00:54:04
time,fog,T
1.16070,-0.18000,36.0
1.17020,-3.18000,36.0
1.18060,-3.18000,36.0
1.19000,-0.18000,36.0
1.20040,-0.18000,36.0
1.21070,-3.18000,36.0
1.22030,-0.18000,36.0
1.23060,2.82000,36.0
1.24010,-0.18000,36.0
1.25040,-0.18000,36.0
1.26070,-0.18000,36.0
1.27020,-0.18000,36.0
1.28060,-0.18000,36.0
1.29000,2.82000,36.0
1.30040,-0.18000,36.0
1.31080,-0.18000,36.0
1.32020,-0.18000,36.0
1.33060,-0.18000,36.0
1.34000,-0.18000,36.0
1.35040,-3.18000,36.0
1.36070,-3.18000,36.0
1.37020,-0.18000,36.0
1.38050,-0.18000,36.0
1.38990,-0.18000,36.0
1.40030,-0.18000,36.0
1.41060,-0.18000,36.0
1.42000,-0.18000,36.0
1.43040,-0.18000,36.0
1.43990,-0.18000,36.0
1.45020,-0.18000,36.0
1.46070,-0.18000,36.0
1.47010,-0.18000,36.0
1.48050,-0.18000,36.0
1.48990,-0.18000,36.0
1.50030,-0.18000,36.0
1.51070,-0.18000,36.0
1.52020,-0.18000,36.0
1.53050,2.82000,36.0
1.54000,2.82000,36.0
1.55040,-0.18000,36.0
1.56080,-0.18000,36.0
1.57010,2.82000,36.0
1.58050,-0.18000,36.0
1.59000,-0.18000,36.0
1.60040,-0.18000,36.0
1.60990,-0.18000,36.0
1.62020,2.82000,36.0
1.63060,-0.18000,36.0
1.64010,2.82000,36.0
1.65050,-3.18000,36.0
1.66010,-3.18000,36.0
1.67040,-0.18000,36.0
1.67990,-0.18000,36.0
1.69030,2.82000,36.0
1.69980,-3.18000,36.0
1.71020,-3.18000,36.0
1.72060,2.82000,36.0
1.73010,-0.18000,36.0
1.74050,-0.18000,36.0
1.74990,-3.18000,36.0
1.76040,-0.18000,36.0
1.76990,-0.18000,36.0
1.78030,-0.18000,36.0
1.79060,-0.18000,36.0
1.80000,-0.18000,36.0
1.81040,-0.18000,36.0
1.81980,-0.18000,36.0
1.83010,-0.18000,36.0
1.84050,2.82000,36.0
1.84990,-0.18000,36.0
1.86040,-0.18000,36.0
1.86990,-0.18000,36.0
1.88020,2.82000,36.0
1.89050,-0.18000,36.0
1.90000,-0.18000,36.0
1.91030,-0.18000,36.0
1.91980,-0.18000,36.0
1.93020,-0.18000,36.0
1.94060,-0.18000,36.0
1.95000,-0.18000,36.0
1.96040,-3.18000,36.0
1.96990,-0.18000,36.0
1.98030,-0.18000,36.0
1.98980,-0.18000,36.0
2.00020,2.82000,36.0
2.01050,-0.18000,36.0
2.02000,-0.18000,36.0
2.03040,-0.18000,36.0
2.03980,-0.18000,36.0
2.05020,-3.18000,36.0
2.06060,-0.18000,36.0
2.07010,-0.18000,36.0
2.08040,-0.18000,36.0
2.09000,-0.18000,36.0
2.10030,-0.18000,36.0
2.10980,-0.18000,36.0
2.12010,-0.18000,36.0
2.13050,-0.18000,36.0
2.13990,-0.18000,36.0
2.15030,-0.18000,36.0
2.15970,-0.18000,36.0
2.17010,2.82000,36.0
2.18040,-0.18000,36.0
2.18980,-0.18000,36.0
2.20030,-0.18000,36.0
2.20970,-0.18000,36.0
2.22000,-0.18000,36.0
2.23040,-0.18000,36.0
2.23980,-0.18000,36.0
2.25020,-0.18000,36.0
2.26050,-0.18000,36.0
2.26990,-0.18000,36.0
2.28020,-0.18000,36.0
2.29060,-0.18000,36.0
2.30000,-0.18000,36.0
2.31030,-0.18000,36.0
2.31970,2.82000,36.0
2.33010,-0.18000,36.0
2.34050,-0.18000,36.0
2.34990,-0.18000,36.0
2.36030,-0.18000,36.0
2.36970,-0.18000,36.0
2.38010,2.82000,36.0
2.38960,-0.18000,36.0
2.40000,-0.18000,36.0
2.41030,-0.18000,36.0
2.41970,-0.18000,36.0
2.43000,2.82000,36.0
2.44040,-0.18000,36.0
2.44980,-0.18000,36.0
2.46010,-0.18000,36.0
2.47050,-0.18000,36.0
2.47990,-0.18000,36.0
2.49030,2.82000,36.0
2.49970,2.82000,36.0
2.51010,-0.18000,36.0
2.51960,-0.18000,36.0
2.53000,-0.18000,36.0
2.54030,-0.18000,36.0
2.54970,-0.18000,36.0
2.56010,-3.18000,36.0
2.56960,2.82000,36.0
2.57990,-0.18000,36.0
2.59020,-0.18000,36.0
2.59970,-3.18000,36.0
2.61010,-3.18000,36.0
2.61950,-0.18000,36.0
2.62990,-3.18000,36.0
2.64040,-0.18000,36.0
2.64990,2.82000,36.0
2.66030,-0.18000,36.0
2.66970,-3.18000,36.0
2.68010,-0.18000,36.0
2.68950,-0.18000,36.0
2.69990,-0.18000,36.0
2.71020,-0.18000,36.0
2.71970,-0.18000,36.0
2.73000,-0.18000,36.0
2.74040,-0.18000,36.0
2.74980,-0.18000,36.0
2.76010,-0.18000,36.0
2.76950,-3.18000,36.0
2.77990,-0.18000,36.0
2.79040,-0.18000,36.0
2.79980,-0.18000,36.0
2.81010,-0.18000,36.0
2.81950,-0.18000,36.0
2.82990,-0.18000,36.0
2.84040,-0.18000,36.0
2.84980,-0.18000,36.0
2.86010,-0.18000,36.0
2.86950,-0.18000,36.0
2.87990,2.82000,36.0
2.89020,2.82000,36.0
2.89970,-0.18000,36.0
2.91000,-0.18000,36.0
2.91950,-0.18000,36.0
2.92990,-0.18000,36.0
2.94030,-0.18000,36.0
2.94970,-0.18000,36.0
2.96000,-0.18000,36.0
2.96940,-0.18000,36.0
2.97980,-0.18000,36.0
2.99010,-0.18000,36.0
2.99950,-0.18000,36.0
3.00990,-0.18000,36.0
3.01940,-3.18000,36.0
3.02970,-0.18000,36.0
3.04010,-0.18000,36.0
3.04950,-0.18000,36.0
3.05990,-0.18000,36.0
3.07020,2.82000,36.0
3.07960,-0.18000,36.0
3.09000,-0.18000,36.0
3.09950,-0.18000,36.0
3.10980,-0.18000,36.0
3.12020,-0.18000,36.0
3.12960,2.82000,36.0
3.14000,-0.18000,36.0
3.14950,-0.18000,36.0
3.15980,-0.18000,36.0
3.17010,-0.18000,36.0
3.17950,-0.18000,36.0
3.18990,-0.18000,36.0
3.20020,-0.18000,36.0
3.20970,-0.18000,36.0
3.22000,-0.18000,36.0
3.22950,-0.18000,36.0
3.23980,-0.18000,36.0
3.25010,-0.18000,36.0
3.25950,-0.18000,36.0
3.26980,-0.18000,36.0
3.28020,-0.18000,36.0
3.28960,-3.18000,36.0
3.30000,-0.18000,36.0
3.30940,-0.18000,36.0
3.31980,-0.18000,36.0
3.32930,-0.18000,36.0
3.33970,-0.18000,36.0
3.35000,-0.18000,36.0
3.35950,-0.18000,36.0
3.36990,-0.18000,36.0
3.37930,-0.18000,36.0
3.38960,-0.18000,36.0
3.40000,-0.18000,36.0
3.40950,-0.18000,36.0
3.41980,-0.18000,36.0
3.42930,-0.18000,36.0
3.43960,-3.18000,36.0
3.45000,-0.18000,36.0
3.45960,-0.18000,36.0
3.46990,2.82000,36.0
3.47940,-0.18000,36.0
3.48970,-0.18000,36.0
3.49920,-0.18000,36.0
3.50960,-3.18000,36.0
3.52000,-0.18000,36.0
3.52950,-3.18000,36.0
3.53990,-0.18000,36.0
3.54940,-0.18000,36.0
3.55980,-0.18000,36.0
3.56930,-0.18000,36.0
3.57960,-0.18000,36.0
3.59000,2.82000,36.0
3.59950,-0.18000,36.0
3.60980,-0.18000,36.0
3.61930,-0.18000,36.0
3.62970,-0.18000,36.0
3.64000,-0.18000,36.0
3.64950,-0.18000,36.0
3.65990,-0.18000,36.0
3.66930,-0.18000,36.0
3.67970,-0.18000,36.0
3.68920,-3.18000,36.0
3.69950,-0.18000,36.0
3.70980,-0.18000,36.0
3.71920,-0.18000,36.0
3.72960,-0.18000,36.0
3.74000,-0.18000,36.0
3.74940,-0.18000,36.0
3.75970,-0.18000,36.0
3.77010,-0.18000,36.0
3.77940,-0.18000,36.0
3.78980,-3.18000,36.0
3.79930,-0.18000,36.0
3.80970,-0.18000,36.0
3.82000,-0.18000,36.0
3.82950,2.82000,36.0
3.83990,-3.18000,36.0
3.84950,-3.18000,36.0
3.85990,-0.18000,36.0
3.86940,-0.18000,36.0
3.87980,-0.18000,36.0
3.88930,-0.18000,36.0
3.89960,-0.18000,36.0
3.90910,-0.18000,36.0
3.91960,-3.18000,36.0
3.92990,-3.18000,36.0
3.93950,-0.18000,36.0
3.94990,-0.18000,36.0
3.95940,-0.18000,36.0
3.96980,2.82000,36.0
3.97920,-3.18000,36.0
3.98970,2.82000,36.0
3.99920,2.82000,36.0
4.00960,-0.18000,36.0
4.01900,2.82000,36.0
4.02950,-0.18000,36.0
4.03990,-3.18000,36.0
4.04940,2.82000,36.0
4.05990,2.82000,36.0
4.06940,-0.18000,36.0
4.07980,2.82000,36.0
4.08930,2.82000,36.0
4.09960,2.82000,36.0
4.10910,-0.18000,36.0
4.11940,-0.18000,36.0
4.12970,-0.18000,36.0
4.13920,-0.18000,36.0
4.14960,-0.18000,36.0
4.15900,2.82000,36.0
4.16940,-0.18000,36.0
4.17980,-0.18000,36.0
4.18930,-0.18000,36.0
4.19970,-0.18000,36.0
4.20920,-0.18000,36.0
4.21960,-0.18000,36.0
4.22910,-3.18000,36.0
4.23950,-0.18000,36.0
4.24900,-0.18000,36.0
4.25940,-0.18000,36.0
4.26970,2.82000,36.0
4.27930,-0.18000,36.0
4.28970,-0.18000,36.0
4.29930,-0.18000,36.0
4.30970,2.82000,36.0
4.31920,-0.18000,36.0
4.32970,-0.18000,36.0
4.33910,2.82000,36.0
4.34950,-0.18000,36.0
4.35900,-3.18000,36.0
4.36950,-0.18000,36.0
4.37900,2.82000,36.0
4.38940,-0.18000,36.0
4.39890,-0.18000,36.0
4.40940,2.82000,36.0
4.41990,-0.18000,36.0
4.42930,-0.18000,36.0
4.43890,2.82000,36.0
4.44930,-0.18000,36.0
4.45970,-3.18000,36.0
4.46920,2.82000,36.0
4.47960,-0.18000,36.0
4.48900,-0.18000,36.0
4.49940,-0.18000,36.0
4.50890,-3.18000,36.0
4.51930,-0.18000,36.0
4.52960,2.82000,36.0
4.53910,-0.18000,36.0
4.54960,-0.18000,36.0
4.55900,2.82000,36.0
4.56950,-0.18000,36.0
