2020-11-13 18:09:33
0.00,6600.55000,0.13293,0.67187,-0.70862
0.01,6600.56000,0.13367,0.67102,-0.70935
0.02,6600.57000,0.13184,0.66980,-0.70935
0.03,6600.58000,0.13257,0.67090,-0.70850
0.04,6600.59000,0.13342,0.67139,-0.70789
0.05,6600.60000,0.13220,0.67383,-0.70984
0.06,6600.61000,0.13147,0.67090,-0.71033
0.07,6600.62000,0.13220,0.67126,-0.70935
0.08,6600.63000,0.13220,0.67224,-0.70837
0.09,6600.64000,0.13269,0.67102,-0.70825
0.10,6600.65000,0.13232,0.67090,-0.70911
0.11,6600.66000,0.13220,0.67175,-0.70947
0.12,6600.67000,0.13342,0.67126,-0.70886
0.13,6600.68000,0.13281,0.67151,-0.70898
0.14,6600.69000,0.13123,0.67078,-0.70972
0.15,6600.70000,0.13123,0.67102,-0.70923
0.16,6600.71000,0.13391,0.67114,-0.70886
0.17,6600.72000,0.13245,0.67273,-0.70911
0.18,6600.73000,0.13196,0.67200,-0.70825
0.19,6600.74000,0.13281,0.67175,-0.70996
0.20,6600.75000,0.13086,0.66980,-0.70996
0.21,6600.76000,0.13208,0.67163,-0.70703
0.22,6600.77000,0.13196,0.67187,-0.70923
0.23,6600.78000,0.13184,0.67029,-0.70984
0.24,6600.79000,0.13184,0.67139,-0.70972
0.25,6600.80000,0.13159,0.67017,-0.70911
0.26,6600.81000,0.13269,0.67126,-0.71008
0.27,6600.82000,0.13281,0.67273,-0.71069
0.28,6600.83000,0.13098,0.67224,-0.70935
0.29,6600.84000,0.13257,0.67102,-0.70959
0.30,6600.85000,0.13220,0.67041,-0.70923
0.31,6600.86000,0.13220,0.67041,-0.71094
0.32,6600.87000,0.13318,0.67102,-0.71033
0.33,6600.88000,0.13293,0.67090,-0.70959
0.34,6600.89000,0.13281,0.67065,-0.70996
0.35,6600.90000,0.13293,0.67053,-0.70776
0.36,6600.91000,0.13171,0.67249,-0.70715
0.37,6600.92000,0.13098,0.67175,-0.70898
0.38,6600.93000,0.13147,0.67200,-0.71045
0.39,6600.94000,0.13281,0.67041,-0.70862
0.40,6600.95000,0.13257,0.67285,-0.70886
0.41,6600.96000,0.13354,0.67126,-0.71143
0.42,6600.97000,0.13330,0.67090,-0.70911
0.43,6600.98000,0.13269,0.67224,-0.70996
0.44,6600.99000,0.13208,0.67029,-0.70923
0.45,6601.00000,0.13269,0.67114,-0.71069
0.46,6601.01000,0.13074,0.67163,-0.71021
