#2025/12/18 16:45:13
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw,gps_status_code
0.547,-0.09953,-0.02688,-0.00438,-0.00993,0.04872,-9.80752,30.0,-0.04597,-0.37378,359.99850,1
0.557,-0.08435,0.03523,-0.00033,-0.01710,0.06001,-9.79642,30.0,-0.06190,-0.36153,359.99844,1
0.567,0.03208,0.03813,0.00201,-0.01381,0.05251,-9.78929,30.0,-0.04405,-0.34504,359.99841,1
0.577,-0.01186,0.03870,0.00018,-0.00980,0.05861,-9.79840,30.0,-0.05631,-0.33134,359.99838,1
0.587,0.08215,-0.00341,0.00007,-0.01119,0.06682,-9.79598,30.0,-0.03173,-0.33091,359.99838,1
0.597,0.02935,0.02297,-0.00159,-0.00889,0.06115,-9.80978,30.0,-0.05231,-0.33529,359.99838,1
0.607,-0.03408,-0.09624,-0.00265,-0.01372,0.04999,-9.80317,30.0,-0.03891,-0.31632,359.99835,1
0.617,-0.01491,-0.03398,-0.00425,-0.00681,0.06359,-9.80082,30.0,-0.04847,-0.33588,359.99835,1
0.627,-0.05241,0.07555,-0.00576,-0.01008,0.06281,-9.80277,30.0,-0.03738,-0.31557,359.99832,1
0.637,-0.04401,0.03151,-0.00601,-0.01135,0.05957,-9.80645,30.0,-0.05652,-0.32087,359.99826,1
0.647,0.02517,0.05810,-0.00577,0.00010,0.05840,-9.79919,30.0,-0.03442,-0.30983,359.99820,1
0.657,-0.05887,0.06757,-0.00550,-0.00748,0.06676,-9.80216,30.0,-0.04115,-0.33297,359.99817,1
0.667,-0.13513,0.07092,-0.00319,-0.01034,0.05811,-9.80621,30.0,-0.03162,-0.31366,359.99811,1
0.677,-0.03154,0.05150,-0.00177,-0.00543,0.06371,-9.79609,30.0,-0.03560,-0.33792,359.99808,1
0.687,-0.03508,-0.10672,-0.00281,-0.01251,0.06283,-9.80092,30.0,-0.03836,-0.31885,359.99799,1
0.697,0.00679,-0.03784,-0.00521,-0.01817,0.06839,-9.79980,30.0,-0.05713,-0.33546,359.99799,1
0.707,0.11054,0.07502,-0.00605,-0.00835,0.06169,-9.79068,30.0,-0.04678,-0.31762,359.99792,1
0.717,0.04000,0.07445,-0.00701,-0.01655,0.06794,-9.79294,30.0,-0.05747,-0.33937,359.99789,1
0.727,-0.09726,0.05206,-0.00813,-0.01086,0.06747,-9.79981,30.0,-0.03956,-0.34359,359.99783,1
0.737,-0.03856,-0.04186,-0.00524,-0.01745,0.05534,-9.79933,30.0,-0.03658,-0.36232,359.99780,1
0.747,-0.06156,0.09404,-0.00259,-0.02007,0.05666,-9.80505,30.0,-0.05682,-0.34870,359.99771,1
0.757,-0.09148,0.01677,0.00007,-0.01511,0.06015,-9.80144,30.0,-0.06820,-0.36480,359.99768,1
0.767,-0.03683,0.00918,-0.00262,-0.01607,0.05551,-9.79412,30.0,-0.08368,-0.34680,359.99762,1
0.777,-0.06046,0.04903,-0.00473,-0.00769,0.05682,-9.80028,30.0,-0.10312,-0.33775,359.99756,1
0.787,-0.02469,-0.02150,-0.00606,-0.01339,0.06317,-9.80253,30.0,-0.12378,-0.33470,359.99753,1
0.797,0.05494,-0.00502,-0.00683,-0.00971,0.06270,-9.80935,30.0,-0.10127,-0.34298,359.99750,1
0.807,-0.02556,0.06511,-0.00554,-0.00223,0.05366,-9.80318,30.0,-0.09307,-0.31932,359.99744,1
0.817,-0.01161,0.02763,-0.00202,0.00077,0.05015,-9.78905,30.0,-0.07187,-0.33361,359.99741,1
0.827,0.08255,-0.05065,-0.00082,-0.00717,0.06063,-9.79534,30.0,-0.07135,-0.31163,359.99734,1
0.837,0.00694,0.06931,-0.00238,-0.00429,0.05878,-9.80075,30.0,-0.04436,-0.31338,359.99731,1
0.847,0.00105,-0.01375,-0.00580,-0.00912,0.06098,-9.80274,30.0,-0.05384,-0.29548,359.99725,1
0.857,-0.06871,0.12615,-0.00577,-0.01089,0.05588,-9.80054,30.0,-0.05561,-0.31764,359.99722,1
0.867,-0.05022,0.05083,-0.00410,-0.01171,0.05989,-9.80855,30.0,-0.07185,-0.30391,359.99716,1
0.877,-0.04345,0.06506,-0.00276,-0.00884,0.05250,-9.79691,30.0,-0.06581,-0.32387,359.99713,1
0.887,-0.12893,0.02694,-0.00188,-0.01085,0.05266,-9.80420,30.0,-0.08271,-0.30956,359.99707,1
0.897,-0.07321,0.01293,-0.00247,-0.01150,0.05564,-9.79522,30.0,-0.06694,-0.32624,359.99704,1
0.907,-0.02969,-0.01379,-0.00293,-0.00291,0.05096,-9.79779,30.0,-0.07610,-0.30479,359.99698,1
0.917,-0.05755,0.01874,-0.00236,-0.01738,0.06675,-9.78973,30.0,-0.06357,-0.31925,359.99698,1
0.927,-0.02383,0.00992,-0.00026,-0.02279,0.06092,-9.78368,30.0,-0.08709,-0.30679,359.99695,1
0.937,-0.12096,-0.05863,-0.00045,-0.01321,0.05886,-9.79626,30.0,-0.07430,-0.32127,359.99695,1
0.947,-0.07017,-0.01976,-0.00152,-0.00963,0.06993,-9.80109,30.0,-0.10158,-0.33151,359.99698,1
0.957,-0.05125,0.05961,-0.00376,-0.01098,0.05926,-9.79108,30.0,-0.09786,-0.35124,359.99698,1
0.967,-0.02194,0.09006,-0.00469,-0.01750,0.06403,-9.79014,30.0,-0.11696,-0.36015,359.99698,1
0.977,0.03329,0.12347,-0.00517,-0.01710,0.06591,-9.79571,30.0,-0.09999,-0.37401,359.99695,1
0.987,0.01066,0.07145,-0.00583,-0.01973,0.05471,-9.78893,30.0,-0.12252,-0.37056,359.99692,1
0.997,-0.08604,0.00803,-0.00571,-0.01206,0.05353,-9.80120,30.0,-0.10111,-0.35852,359.99683,1
1.007,0.00896,0.07063,-0.00531,-0.01501,0.05893,-9.79993,30.0,-0.12236,-0.36010,359.99677,1
1.017,-0.02069,0.05112,-0.00316,-0.01920,0.06100,-9.80823,30.0,-0.10159,-0.34753,359.99667,1
1.027,-0.00990,0.04379,0.00019,-0.02063,0.05287,-9.80254,30.0,-0.12312,-0.34134,359.99661,1
1.037,-0.04902,-0.08831,0.00215,-0.00651,0.04993,-9.80941,30.0,-0.09964,-0.33824,359.99658,1
1.047,-0.02091,0.01205,-0.00073,-0.00683,0.05165,-9.79430,30.0,-0.12105,-0.32965,359.99658,1
1.057,-0.03163,-0.03577,-0.00126,-0.01294,0.05228,-9.79433,30.0,-0.09782,-0.32303,359.99655,1
1.067,-0.12441,-0.01157,-0.00098,-0.01541,0.05848,-9.80319,30.0,-0.12000,-0.32198,359.99655,1
1.077,-0.13744,-0.04520,-0.00091,-0.02820,0.06370,-9.80642,30.0,-0.09728,-0.32618,359.99655,1
1.087,-0.05439,-0.01449,-0.00323,-0.01813,0.05394,-9.79899,30.0,-0.11904,-0.32313,359.99655,1
1.097,0.06538,0.04080,-0.00568,-0.01724,0.06202,-9.79026,30.0,-0.09816,-0.33535,359.99655,1
1.097,0.06538,0.04080,-0.00568,-0.01724,0.06202,-9.79026,30.0,-0.09816,-0.33535,359.99655,1
1.147,-0.10182,0.04706,-0.00434,-0.01362,0.05639,-9.81078,30.0,-0.11928,-0.32886,359.99637,1
1.157,-0.06253,-0.02240,-0.00241,-0.01859,0.05409,-9.80941,30.0,-0.10030,-0.34173,359.99640,1
1.167,-0.04814,0.03709,-0.00089,-0.01754,0.05916,-9.80601,30.0,-0.11697,-0.32617,359.99637,1
1.177,-0.10879,0.03790,-0.00194,-0.00829,0.06414,-9.80484,30.0,-0.09721,-0.33824,359.99640,1
1.187,-0.06616,0.10314,-0.00326,-0.00758,0.05710,-9.79844,30.0,-0.10881,-0.31928,359.99634,1
1.197,-0.11520,-0.00138,-0.00205,-0.01342,0.06330,-9.80771,30.0,-0.09278,-0.33545,359.99634,1
1.197,-0.11520,-0.00138,-0.00205,-0.01342,0.06330,-9.80771,30.0,-0.09278,-0.33545,359.99634,1
1.277,-0.08066,0.02478,-0.00657,-0.01912,0.05460,-9.79080,30.0,-0.07272,-0.34603,359.99615,1
1.287,-0.05528,0.07663,-0.00697,-0.00880,0.04758,-9.79899,30.0,-0.07325,-0.32436,359.99606,1
