#2025/09/09 15:11:30
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw
0.607,0.00893,0.09082,-0.01276,0.04146,0.04715,9.80252,0.0,-0.25036,0.19465,0.00541
0.617,0.06768,-0.03482,-0.01573,0.04369,0.04177,9.80935,0.0,-0.23449,0.30673,0.00398
0.627,0.04603,0.00500,0.11219,0.04161,0.03088,9.80308,0.0,-0.27269,0.20032,0.00402
0.637,-0.11450,0.06310,0.07494,0.02894,0.03849,9.79474,0.0,-0.21188,0.10408,0.00608
0.647,0.00944,-0.01244,0.10384,0.02705,0.03846,9.80341,0.0,-0.15259,0.19955,0.00603
0.657,0.01252,0.05753,0.07165,0.03224,0.05317,9.80374,0.0,-0.14640,0.31390,0.00668
0.667,-0.01790,-0.02617,0.02729,0.04906,0.05289,9.80388,0.0,-0.23308,0.38627,0.00670
0.677,-0.00830,-0.00289,0.02099,0.05848,0.04984,9.79504,0.0,-0.32768,0.32157,0.00675
0.687,-0.06982,0.01652,-0.01369,0.04724,0.04279,9.79760,0.0,-0.41437,0.24818,0.00714
0.697,-0.00661,0.03562,0.05911,0.03407,0.03421,9.79562,0.0,-0.30093,0.23223,0.00662
0.707,0.01798,-0.01217,0.01166,0.03197,0.03683,9.80671,0.0,-0.19539,0.18815,0.00759
0.717,0.10291,0.01423,-0.00661,0.03713,0.03487,9.79613,0.0,-0.14883,0.29222,0.00684
0.727,0.03804,-0.00949,0.01886,0.03609,0.04003,9.80987,0.0,-0.22503,0.20986,0.00667
0.737,0.08850,0.05916,0.01760,0.02680,0.03906,9.81512,0.0,-0.18014,0.31424,0.00639
0.747,-0.08650,-0.02631,-0.02558,0.03514,0.03867,9.80527,0.0,-0.11775,0.21953,0.00655
0.757,0.02010,-0.04659,-0.02069,0.03239,0.04441,9.80150,0.0,-0.23184,0.22252,0.00575
0.767,0.02840,-0.06560,0.03506,0.04023,0.04661,9.80006,0.0,-0.15579,0.30762,0.00503
0.777,-0.04455,-0.05142,0.04560,0.04616,0.05040,9.81136,0.0,-0.26662,0.28004,0.00557
0.787,0.05802,-0.07805,0.02806,0.04253,0.04595,9.80383,0.0,-0.34145,0.36487,0.00537
0.797,0.05384,-0.08855,0.08600,0.04712,0.02952,9.79504,0.0,-0.26406,0.28323,0.00572
0.807,-0.05710,0.00575,0.06494,0.04586,0.03504,9.80353,0.0,-0.28341,0.17154,0.00721
0.817,-0.06676,0.01999,0.02461,0.04835,0.04008,9.80084,0.0,-0.24214,0.27661,0.00698
0.827,-0.08101,-0.00771,-0.01225,0.04040,0.04201,9.80277,0.0,-0.34398,0.22614,0.00697
0.837,-0.01047,-0.02872,-0.08020,0.04330,0.04274,9.80055,0.0,-0.23209,0.24675,0.00625
0.847,0.07026,0.01876,-0.03093,0.03848,0.04008,9.79970,0.0,-0.34424,0.26770,0.00466
0.857,0.02586,-0.04081,0.02040,0.03667,0.03022,9.79050,0.0,-0.23481,0.23467,0.00458
0.867,0.08468,-0.04094,0.15834,0.03592,0.03237,9.81069,0.0,-0.20415,0.12523,0.00526
0.877,-0.01232,-0.03090,0.04959,0.03265,0.03908,9.82136,0.0,-0.20848,0.23987,0.00702
0.887,-0.13621,-0.01672,0.05116,0.02254,0.04457,9.80468,0.0,-0.10332,0.28175,0.00647
0.897,0.06629,-0.05344,0.03013,0.01866,0.04667,9.80721,0.0,0.00907,0.26264,0.00674
0.907,-0.06339,0.04111,0.01126,0.02314,0.03570,9.80522,0.0,-0.10345,0.28342,0.00663
0.917,-0.00418,0.04501,0.01481,0.02779,0.03152,9.81335,0.0,-0.14613,0.17700,0.00660
0.927,0.04023,0.03566,0.01617,0.02068,0.03874,9.80756,0.0,-0.25573,0.14980,0.00661
0.937,0.07908,0.01021,0.03825,0.04168,0.04444,9.80830,0.0,-0.15925,0.21174,0.00629
0.947,-0.03672,0.05458,0.02514,0.02599,0.04367,9.80266,0.0,-0.26379,0.25752,0.00639
0.957,-0.01559,0.03897,-0.00139,0.04373,0.04632,9.79754,0.0,-0.14881,0.25304,0.00631
0.967,0.03626,-0.01072,0.04237,0.04162,0.04144,9.79262,0.0,-0.26067,0.27100,0.00581
0.977,-0.06363,0.01344,0.02679,0.03786,0.03369,9.79076,0.0,-0.20713,0.17135,0.00665
0.987,-0.14488,-0.01071,0.01016,0.03048,0.03662,9.79003,0.0,-0.24757,0.06405,0.00699
0.997,-0.04599,0.00310,-0.06093,0.04841,0.03774,9.79569,0.0,-0.18943,0.15957,0.00635
1.007,-0.01950,0.06338,0.01948,0.02857,0.03523,9.79785,0.0,-0.29411,0.20287,0.00486
1.017,-0.04049,-0.07911,0.01826,0.03583,0.03720,9.79274,0.0,-0.17922,0.19935,0.00531
1.027,0.01543,-0.00082,0.06054,0.03563,0.03796,9.79672,0.0,-0.28420,0.24535,0.00504
1.037,0.03745,-0.04804,0.03378,0.04149,0.03531,9.79528,0.0,-0.17372,0.21626,0.00577
