股利,,股利,股利政策,,,,,,,,,現金殖利率,,,,,,,,,,
發放,,所屬,股東股利 (元/股),,,,,,,填息,填權,,,,,,,,,,,
期間,,期間,現金股利,,,股票股利,,,股利,花費,花費,股價,除息前,,年均價,,成交價,,最高價,,最低價,
,,,盈餘,公積,合計,盈餘,公積,合計,合計,日數,日數,年度,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2026,,25Q4,0.866,0,0.866,0,0,0,0.866,3,-,2026,38.21,9.07,38.3,9.05,38.77,8.93,40.36,8.58,36.5,9.49
,,,,,,,,,,,,,,(年化),,(年化),,(年化),,(年化),,(年化)
    ∟,1/22 ,25Q4,0.866,0,0.866,0,0,0,0.866,3,-,∟,38.21,2.27,-,2.26,-,2.23,-,2.15,-,2.37
2025,,-,3.872,0,3.872,0,0,0,3.872,-,-,2025,-,11,35.4,10.9,36.73,10.5,37.8,10.2,28.49,13.6
    ∟,10/23 ,25Q3,0.866,0,0.866,0,0,0,0.866,55,-,∟,37.75,2.29,-,2.45,-,2.36,-,2.29,-,3.04
    ∟,7/21 ,25Q2,0.866,0,0.866,0,0,0,0.866,37,-,∟,35.6,2.43,-,2.45,-,2.36,-,2.29,-,3.04
    ∟,4/23 ,25Q1,1.07,0,1.07,0,0,0,1.07,3,-,∟,31.98,3.35,-,3.02,-,2.91,-,2.83,-,3.76
    ∟,1/17 ,24Q4,1.07,0,1.07,0,0,0,1.07,13,-,∟,36.39,2.94,-,3.02,-,2.91,-,2.83,-,3.76
2024,,-,3.63,0,3.63,0,0,0,3.63,-,-,2024,-,9.22,38.4,9.44,36.68,9.9,42.77,8.49,34.45,10.5
    ∟,10/17 ,24Q3,1.07,0,1.07,0,0,0,1.07,326,-,∟,39.02,2.74,-,2.78,-,2.92,-,2.5,-,3.11
    ∟,7/16 ,24Q2,1.07,0,1.07,0,0,0,1.07,-,-,∟,42.37,2.53,-,2.78,-,2.92,-,2.5,-,3.11
    ∟,4/18 ,24Q1,0.79,0,0.79,0,0,0,0.79,13,-,∟,38.94,2.03,-,2.06,-,2.15,-,1.85,-,2.29
    ∟,1/17 ,23Q4,0.7,0,0.7,0,0,0,0.7,7,-,∟,36.37,1.92,-,1.82,-,1.91,-,1.64,-,2.03
2023,,-,2.2,0,2.2,0,0,0,2.2,-,-,2023,-,6.22,32,6.87,37.4,5.88,37.54,5.86,25.19,8.73
    ∟,10/19 ,23Q3,1.2,0,1.2,0,0,0,1.2,20,-,∟,34.9,3.44,-,3.75,-,3.21,-,3.2,-,4.76
    ∟,7/18 ,23Q2,1,0,1,0,0,0,1,5,-,∟,35.94,2.78,-,3.12,-,2.67,-,2.66,-,3.97
2022,,2021,2.1,0,2.1,0,0,0,2.1,32,-,2022,25.84,8.13,29.3,7.17,25.4,8.27,34.35,6.11,23.28,9.02
2021,,2020,1.8,0,1.8,0,0,0,1.8,12,-,2021,32.4,5.56,33.2,5.42,33.58,5.36,36.17,4.98,29.8,6.04
2020,,2019,1.6,0,1.6,0,0,0,1.6,28,-,2020,29.69,5.39,28.5,5.61,29.95,5.34,31.11,5.14,21.45,7.46
2019,,2018,1.8,0,1.8,0,0,0,1.8,49,-,2019,29.03,6.2,26.9,6.7,28.97,6.21,29.06,6.19,23.11,7.79
2018,,2017,1.45,0,1.45,0,0,0,1.45,80,-,2018,25.81,5.62,25.8,5.62,23.94,6.06,27.84,5.21,23.24,6.24
2017,,2016,0.95,0,0.95,0,0,0,0.95,61,-,2017,26.39,3.6,25.2,3.78,25,3.8,26.85,3.54,23.07,4.12
2016,,2015,1.3,0,1.3,0,0,0,1.3,159,-,2016,25.35,5.13,22.9,5.67,23.07,5.64,25.35,5.13,20.14,6.45
2015,,2014,1,0,1,0,0,0,1,84,-,2015,22.65,4.42,23.1,4.33,21.85,4.58,25.4,3.94,18.76,5.33
2014,,2013,1,0,1,0,0,0,1,31,-,2014,23.96,4.17,24.3,4.12,24.16,4.14,26.67,3.75,22.44,4.46
2013,,2012,0.85,0,0.85,0,0,0,0.85,116,-,2013,24.18,3.52,23.5,3.61,23.06,3.69,24.79,3.43,21.98,3.87
2012,,2011,1.3,0,1.3,0,0,0,1.3,131,-,2012,24.4,5.33,23.7,5.49,22.78,5.71,25.9,5.02,20.76,6.26
2011,,2010,2.2,0,2.2,0,0,0,2.2,76,-,2011,25.21,8.73,25.8,8.54,22.14,9.94,29.96,7.34,20.78,10.6
2010,,2009,0,0,0,0,0,0,0,-,-,2010,-,0,24.1,0,27.82,0,28,0,20.91,0
2009,,2008,2,0,2,0,0,0,2,51,-,2009,23.63,8.46,19.5,10.3,23.4,8.55,24.4,8.2,13,15.4
2008,,2007,0,0,0,0,0,0,0,-,-,2008,-,0,21.2,0,13.49,0,27.7,0,11.73,0
累計,,,29.92,0,29.92,0,0,0,29.92,,,,,,,,,,,,,
