股利,,股利,股利政策,,,,,,,,,現金殖利率,,,,,,,,,,
發放,,所屬,股東股利 (元/股),,,,,,,填息,填權,,,,,,,,,,,
期間,,期間,現金股利,,,股票股利,,,股利,花費,花費,股價,除息前,,年均價,,成交價,,最高價,,最低價,
,,,盈餘,公積,合計,盈餘,公積,合計,合計,日數,日數,年度,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2025,,25H1,4.437,0,4.437,0,0,0,4.437,-,-,2025,-,3.23,121,3.66,150.1,2.96,152,2.92,85.1,5.21
    ∟,11/18 ,25H1,3.448,0,3.448,0,0,0,3.448,15,-,∟,144.8,2.38,-,2.85,-,2.3,-,2.27,-,4.05
    ∟,7/16 ,25H1,0.989,0,0.989,0,0,0,0.989,1,-,∟,117,0.85,-,0.82,-,0.66,-,0.65,-,1.16
2024,,24H1,1.683,0,1.683,0,0,0,1.683,-,-,2024,-,1.48,101,1.67,114.1,1.48,119.35,1.41,74.55,2.26
    ∟,11/18 ,24H1,0.9,0,0.9,0,0,0,0.9,3,-,∟,112.3,0.8,-,0.89,-,0.79,-,0.75,-,1.21
    ∟,7/16 ,24H1,0.783,0,0.783,0,0,0,0.783,1,-,∟,115.4,0.68,-,0.78,-,0.69,-,0.66,-,1.05
2023,,23H1,2.213,0,2.213,0,0,0,2.213,-,-,2023,-,2.91,71.8,3.08,77.15,2.87,77.35,2.86,61.35,3.61
    ∟,11/16 ,23H1,0.861,0,0.861,0,0,0,0.861,4,-,∟,75.3,1.14,-,1.2,-,1.12,-,1.11,-,1.4
    ∟,7/18 ,23H1,1.352,0,1.352,0,0,0,1.352,113,-,∟,76.45,1.77,-,1.88,-,1.75,-,1.75,-,2.2
2022,,22H1,2.278,0,2.278,0,0,0,2.278,-,-,2022,-,3.43,70,3.25,62.1,3.67,85.7,2.66,55.5,4.1
    ∟,11/16 ,22H1,1.03,0,1.03,0,0,0,1.03,7,-,∟,65.8,1.57,-,1.47,-,1.66,-,1.2,-,1.86
    ∟,7/18 ,22H1,1.248,0,1.248,0,0,0,1.248,3,-,∟,66.8,1.87,-,1.78,-,2.01,-,1.46,-,2.25
2021,,21H1,1.955,0,1.955,0,0,0,1.955,-,-,2021,-,2.41,78.5,2.49,81.85,2.39,82.35,2.37,68.75,2.84
    ∟,11/16 ,21H1,1.641,0,1.641,0,0,0,1.641,4,-,∟,80.9,2.03,-,2.09,-,2,-,1.99,-,2.39
    ∟,7/16 ,21H1,0.314,0,0.314,0,0,0,0.314,36,-,∟,81.25,0.39,-,0.4,-,0.38,-,0.38,-,0.46
2020,,20H1,1.62,0,1.62,0,0,0,1.62,-,-,2020,-,2.63,55.2,2.94,68.75,2.36,68.8,2.35,38.6,4.2
    ∟,11/17 ,20H1,1.139,0,1.139,0,0,0,1.139,1,-,∟,64.5,1.77,-,2.06,-,1.66,-,1.66,-,2.95
    ∟,7/21 ,20H1,0.481,0,0.481,0,0,0,0.481,1,-,∟,55.5,0.87,-,0.87,-,0.7,-,0.7,-,1.25
2019,,19H1,1.799,0,1.799,0,0,0,1.799,-,-,2019,-,3.54,47,3.83,53.6,3.36,54.4,3.31,39.97,4.5
    ∟,11/20 ,19H1,1.138,0,1.138,0,0,0,1.138,17,-,∟,53.1,2.14,-,2.42,-,2.12,-,2.09,-,2.85
    ∟,7/18 ,19H1,0.661,0,0.661,0,0,0,0.661,4,-,∟,47.41,1.39,-,1.41,-,1.23,-,1.22,-,1.65
2018,,18H1,2.65,0,2.65,0,0,0,2.65,-,-,2018,-,5.81,47.3,5.6,41.58,6.37,51.2,5.18,40.77,6.5
    ∟,11/29 ,18H1,2,0,2,0,0,0,2,68,-,∟,44.61,4.48,-,4.23,-,4.81,-,3.91,-,4.91
    ∟,7/26 ,18H1,0.65,0,0.65,0,0,0,0.65,1,-,∟,49.08,1.32,-,1.37,-,1.56,-,1.27,-,1.59
2017,,17H1,2.65,0,2.65,0,0,0,2.65,-,-,2017,-,5.42,46.1,5.75,46.66,5.68,52.9,5.01,40.7,6.51
    ∟,11/30 ,17H1,1.65,0,1.65,0,0,0,1.65,36,-,∟,49.13,3.36,-,3.58,-,3.54,-,3.12,-,4.05
    ∟,7/27 ,17H1,1,0,1,0,0,0,1,8,-,∟,48.6,2.06,-,2.17,-,2.14,-,1.89,-,2.46
2016,,2015,0.043,0,0.043,0,0,0,0.043,1,-,2016,39.8,0.11,37.7,0.11,40.6,0.11,41.82,0.1,31.24,0.14
2015,,2014,0.845,0,0.845,0,0,0,0.845,165,-,2015,37.34,2.26,37.6,2.25,34.68,2.44,43,1.97,30.6,2.76
2014,,2013,1.212,0,1.212,0,0,0,1.212,1,-,2014,37.41,3.24,36.1,3.36,37.68,3.22,39.66,3.06,31.46,3.85
2013,,2012,0.629,0,0.629,0,0,0,0.629,1,-,2013,32.95,1.91,31.9,1.97,33.01,1.91,34.07,1.85,30.28,2.08
2012,,2011,1.844,0,1.844,0,0,0,1.844,22,-,2012,30.43,6.06,30.6,6.03,30.67,6.01,32.7,5.64,28.12,6.56
累計,,,25.86,0,25.86,0,0,0,25.86,,,,,,,,,,,,,
