股利,,股利,股利政策,,,,,,,,,現金殖利率,,,,,,,,,,
發放,,所屬,股東股利 (元/股),,,,,,,填息,填權,,,,,,,,,,,
期間,,期間,現金股利,,,股票股利,,,股利,花費,花費,股價,除息前,,年均價,,成交價,,最高價,,最低價,
,,,盈餘,公積,合計,盈餘,公積,合計,合計,日數,日數,年度,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2026,,-,0.31,0,0.31,0,0,0,0.31,-,-,2026,-,6.25,19.4,6.39,19.83,6.25,20.6,6.02,18.11,6.85
,,,,,,,,,,,,,,(年化),,(年化),,(年化),,(年化),,(年化)
    ∟,3/18 ,26M02,0.11,0,0.11,0,0,0,0.11,1,-,∟,19.93,0.55,-,0.57,-,0.55,-,0.53,-,0.61
    ∟,3/3 ,26M02,0.1,0,0.1,0,0,0,0.1,1,-,∟,19.96,0.5,-,0.52,-,0.5,-,0.49,-,0.55
    ∟,1/20 ,25M12,0.1,0,0.1,0,0,0,0.1,1,-,∟,19.64,0.51,-,0.52,-,0.5,-,0.49,-,0.55
2025,,-,0.83,0,0.83,0,0,0,0.83,-,-,2025,-,4.65,17.9,4.65,18.07,4.59,19.18,4.33,14.51,5.72
    ∟,12/17 ,25M11,0.09,0,0.09,0,0,0,0.09,1,-,∟,17.61,0.51,-,0.5,-,0.5,-,0.47,-,0.62
    ∟,11/19 ,25M10,0.09,0,0.09,0,0,0,0.09,1,-,∟,17.53,0.51,-,0.5,-,0.5,-,0.47,-,0.62
    ∟,10/21 ,25M09,0.08,0,0.08,0,0,0,0.08,1,-,∟,18.62,0.43,-,0.45,-,0.44,-,0.42,-,0.55
    ∟,9/17 ,25M08,0.08,0,0.08,0,0,0,0.08,1,-,∟,18.39,0.44,-,0.45,-,0.44,-,0.42,-,0.55
    ∟,8/19 ,25M07,0.08,0,0.08,0,0,0,0.08,7,-,∟,17.71,0.45,-,0.45,-,0.44,-,0.42,-,0.55
    ∟,7/17 ,25M06,0.07,0,0.07,0,0,0,0.07,1,-,∟,17.62,0.4,-,0.39,-,0.39,-,0.36,-,0.48
    ∟,6/18 ,25M05,0.07,0,0.07,0,0,0,0.07,1,-,∟,17.67,0.4,-,0.39,-,0.39,-,0.36,-,0.48
    ∟,5/20 ,25M04,0.07,0,0.07,0,0,0,0.07,1,-,∟,17.6,0.4,-,0.39,-,0.39,-,0.36,-,0.48
    ∟,4/22 ,25M03,0.05,0,0.05,0,0,0,0.05,1,-,∟,16.49,0.3,-,0.28,-,0.28,-,0.26,-,0.34
    ∟,3/19 ,25M02,0.05,0,0.05,0,0,0,0.05,1,-,∟,18.45,0.27,-,0.28,-,0.28,-,0.26,-,0.34
    ∟,2/19 ,25M01,0.05,0,0.05,0,0,0,0.05,1,-,∟,18.67,0.27,-,0.28,-,0.28,-,0.26,-,0.34
    ∟,1/16 ,24M12,0.05,0,0.05,0,0,0,0.05,1,-,∟,17.92,0.28,-,0.28,-,0.28,-,0.26,-,0.34
2024,,-,1.81,0,1.81,0,0,0,1.81,-,-,2024,-,9.15,19.5,9.29,18.04,10,21.87,8.28,17.55,10.3
    ∟,12/18 ,24M11,0.05,0,0.05,0,0,0,0.05,1,-,∟,17.89,0.28,-,0.26,-,0.28,-,0.23,-,0.28
    ∟,11/19 ,24M10,0.11,0,0.11,0,0,0,0.11,1,-,∟,17.98,0.61,-,0.56,-,0.61,-,0.5,-,0.63
    ∟,10/22 ,24M09,0.14,0,0.14,0,0,0,0.14,249,-,∟,19.17,0.73,-,0.72,-,0.78,-,0.64,-,0.8
    ∟,9/19 ,24M08,0.16,0,0.16,0,0,0,0.16,2,-,∟,18.95,0.84,-,0.82,-,0.89,-,0.73,-,0.91
    ∟,8/20 ,24M07,0.18,0,0.18,0,0,0,0.18,350,-,∟,19.82,0.91,-,0.92,-,1,-,0.82,-,1.03
    ∟,7/17 ,24M06,0.18,0,0.18,0,0,0,0.18,-,-,∟,20.8,0.87,-,0.92,-,1,-,0.82,-,1.03
    ∟,6/20 ,24M05,0.2,0,0.2,0,0,0,0.2,-,-,∟,21.52,0.93,-,1.03,-,1.11,-,0.91,-,1.14
    ∟,5/21 ,24M04,0.2,0,0.2,0,0,0,0.2,2,-,∟,20.42,0.98,-,1.03,-,1.11,-,0.91,-,1.14
    ∟,4/23 ,24M03,0.2,0,0.2,0,0,0,0.2,1,-,∟,19.55,1.02,-,1.03,-,1.11,-,0.91,-,1.14
    ∟,3/19 ,24M02,0.13,0,0.13,0,0,0,0.13,1,-,∟,21.03,0.62,-,0.67,-,0.72,-,0.59,-,0.74
    ∟,2/29 ,24M01,0.13,0,0.13,0,0,0,0.13,2,-,∟,19.66,0.66,-,0.67,-,0.72,-,0.59,-,0.74
    ∟,1/18 ,23M12,0.13,0,0.13,0,0,0,0.13,3,-,∟,18.48,0.7,-,0.67,-,0.72,-,0.59,-,0.74
2023,,-,0.66,0,0.66,0,0,0,0.66,-,-,2023,-,3.75,17.2,3.84,19.15,3.45,19.82,3.33,15.03,4.39
    ∟,12/19 ,23M11,0.11,0,0.11,0,0,0,0.11,40,-,∟,19.35,0.57,-,0.64,-,0.57,-,0.55,-,0.73
    ∟,11/21 ,23M10,0.11,0,0.11,0,0,0,0.11,1,-,∟,18.05,0.61,-,0.64,-,0.57,-,0.55,-,0.73
    ∟,10/24 ,23M09,0.11,0,0.11,0,0,0,0.11,1,-,∟,17.24,0.64,-,0.64,-,0.57,-,0.55,-,0.73
    ∟,9/19 ,23M08,0.11,0,0.11,0,0,0,0.11,1,-,∟,18.2,0.6,-,0.64,-,0.57,-,0.55,-,0.73
    ∟,8/17 ,23M07,0.11,0,0.11,0,0,0,0.11,1,-,∟,16.43,0.67,-,0.64,-,0.57,-,0.55,-,0.73
    ∟,7/19 ,23M06,0.11,0,0.11,0,0,0,0.11,1,-,∟,16.57,0.66,-,0.64,-,0.57,-,0.55,-,0.73
累計,,,3.61,0,3.61,0,0,0,3.61,,,,,,,,,,,,,
