#2025/12/15 13:47:37
mcu_time,latitude,longitude,altitude,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_millisecond,gps_status_code
367.150,25.063707,121.280718,49.88,2025,12,15,5,50,58,600,0
368.170,25.063706,121.280718,49.78,2025,12,15,5,50,58,600,0
369.189,25.063706,121.280718,49.77,2025,12,15,5,51,4,0,0
372.250,25.063707,121.280718,49.63,2025,12,15,5,51,4,0,0
375.309,25.063707,121.280718,49.53,2000,1,15,5,51,9,200,0
376.329,25.063707,121.280718,49.53,2000,1,15,5,51,9,200,0
379.390,25.063706,121.280719,49.38,2000,1,15,5,51,9,200,0
382.439,25.063707,121.280719,49.34,2000,1,15,5,51,9,200,0
385.500,25.050000,0.000000,0.00,2025,12,15,5,51,19,800,2
386.519,25.063707,121.280720,3.00,2025,12,15,5,51,19,800,0
389.589,25.063706,121.280721,2.00,2025,12,15,5,51,24,800,2
390.609,25.063707,121.280721,4.90,2092,7,14,5,51,25,800,0
392.640,25.063706,121.280721,4.00,2092,7,14,5,51,25,800,0
393.670,25.063706,121.280721,4.00,2092,7,14,5,51,25,800,3
396.730,25.063706,121.280722,48.70,2025,12,15,5,51,30,400,0
397.749,25.063706,121.280722,48.70,2025,12,15,5,51,30,400,0
400.799,25.063706,121.280722,48.53,2002,12,15,5,51,35,600,3
403.869,25.063706,121.280722,48.41,2002,12,15,5,51,35,600,0
404.889,25.063705,121.280722,48.37,2025,12,15,5,51,39,400,3
406.931,25.063705,121.280723,48.31,2000,0,1,5,51,41,0,3
407.960,25.063705,121.280723,48.28,2000,0,1,5,51,41,0,3
411.020,25.063704,121.280723,0.00,2000,0,1,5,51,41,0,3
412.040,25.063704,121.280724,148.08,2000,0,1,5,51,41,0,3
416.139,25.063703,121.280724,48.01,2025,12,15,5,51,49,800,0
419.199,25.063704,121.280725,47.88,2025,12,15,5,51,53,400,3
420.219,25.063705,121.280725,47.81,2025,12,15,5,51,53,400,0
422.252,25.064739,0.005000,0.00,2025,12,15,5,51,53,400,0
423.279,25.064739,0.005000,0.00,2025,12,15,5,51,53,400,0
426.330,25.063706,121.280725,47.00,2025,12,15,5,51,53,400,0
429.389,25.063714,121.280726,47.69,2025,12,15,5,51,53,400,0
430.410,25.063712,121.280726,1.00,2025,12,15,5,52,4,800,1
433.459,25.063712,121.280727,1.00,2025,12,15,5,52,4,800,1
436.519,25.063712,121.280726,47.67,2025,12,15,5,52,4,800,1
440.609,25.063714,121.280726,47.71,2025,12,15,5,52,15,600,1
443.659,25.063714,121.280725,0.00,2025,12,15,5,52,15,600,1
446.719,25.063716,121.280724,47.64,2025,12,15,5,52,20,600,3
447.739,25.063716,121.280724,47.68,2025,12,15,5,52,20,600,1
450.789,25.063717,121.280724,47.57,2025,12,15,5,52,20,600,1
453.850,25.063717,121.280724,47.52,2025,12,15,5,52,27,0,1
456.899,25.063717,121.280724,47.43,2025,12,15,5,52,27,0,3
459.950,25.063718,121.280724,47.44,2025,12,15,5,52,27,0,1
463.009,552.636667,0.000000,0.69,2025,12,15,5,52,27,0,3
464.029,25.063717,121.280723,47.44,2025,12,15,5,52,38,800,1
466.059,25.063717,121.280723,47.44,2025,12,15,5,52,38,800,1
467.079,25.063717,121.280723,47.45,2025,12,15,5,52,38,800,1
470.149,25.063717,121.280723,47.43,2025,12,15,5,52,44,0,1
473.199,25.063718,121.280722,47.72,2025,12,15,5,52,44,0,1
474.220,25.063718,1.350000,0.00,2025,12,15,5,52,44,0,2
477.269,25.063719,121.280720,4.00,2025,12,15,5,52,44,0,1
480.330,25.063720,121.280719,48.26,2025,12,15,5,52,44,0,3
483.380,25.063720,121.280719,48.30,2025,12,15,5,52,44,0,1
484.409,25.063719,121.280719,48.28,2025,12,15,5,52,59,600,1
487.459,25.063718,121.280720,0.00,2025,12,15,5,52,59,600,3
489.489,25.063718,121.280720,48.15,2025,12,15,5,52,59,600,1
490.509,25.063718,121.280720,48.18,2025,12,15,5,52,59,600,1
493.559,25.063718,121.280720,48.21,2025,12,15,5,52,59,600,1
496.609,25.063718,121.280720,48.23,2025,12,15,5,52,59,600,1
499.669,25.063718,121.280720,48.24,2025,12,15,5,52,59,600,1
502.729,25.063718,121.280720,48.24,2000,1,15,5,53,17,600,3
503.749,25.063718,121.280720,48.23,2000,1,15,5,53,17,600,1
505.779,25.063718,121.280720,48.24,2000,1,15,5,53,17,600,1
509.849,25.063718,121.268600,48.25,2025,12,15,5,53,24,200,2
511.879,25.063718,121.280720,4.00,2025,12,15,5,53,24,200,1
512.899,25.063718,121.280720,4.00,2025,12,15,5,53,24,200,1
515.959,25.063718,121.280720,48.21,2025,12,15,5,53,28,600,1
519.009,25.063718,121.280720,48.19,2025,12,15,5,53,33,600,1
522.071,0.000000,2.240000,0.00,2025,12,15,5,53,33,600,1
523.089,25.063718,121.280720,48.19,2025,12,15,5,53,33,600,1
526.160,25.063718,121.280720,4.00,2025,12,15,5,53,40,600,1
527.182,25.063718,121.280720,48.00,2025,12,15,5,53,40,600,3
540.489,25.063718,121.280720,48.21,2025,12,15,5,53,53,800,1
543.549,25.063718,121.280720,48.21,2025,12,15,5,53,58,600,1
546.599,25.063718,121.280720,48.21,2025,12,15,5,53,59,800,1
549.659,25.063718,121.280720,48.20,2025,12,15,5,54,3,600,1
550.679,25.063718,121.280720,48.20,2025,12,15,5,54,3,600,1
552.709,25.063718,121.280720,48.20,2025,12,15,5,54,3,600,1
553.729,25.063718,121.280720,48.20,2025,12,15,5,54,3,600,1
556.779,25.063718,121.280720,48.21,2025,12,15,5,54,3,600,1
559.839,25.063718,121.280720,48.22,2025,12,15,5,54,3,600,1
562.899,25.063718,121.280720,48.00,2025,12,15,5,54,15,600,1
565.949,25.063718,121.280720,48.25,2025,12,15,5,54,15,600,1
566.969,25.063718,121.280720,48.25,2025,12,15,5,54,15,600,1
568.999,25.063718,121.280720,48.25,2025,12,15,5,54,15,600,1
570.019,25.063718,121.280720,1.00,2025,12,15,5,54,15,600,2
573.069,25.063718,121.280720,48.26,2025,12,15,5,54,27,600,1
