#2025/12/16 15:23:25
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw,gps_status_code
0.031,-0.03661,0.07847,-0.00251,0.02484,0.08751,-9.80928,40.0,0.11754,-0.32106,359.99933,1
0.041,-0.01651,0.11878,-0.00469,0.03724,0.09898,-9.81247,40.0,0.16026,-0.39465,359.99918,1
0.051,-0.03056,0.09101,-0.00143,0.02437,0.08836,-9.81045,40.0,0.17405,-0.45687,359.99899,1
0.061,0.03096,-0.00521,-0.00129,0.02838,0.07550,-9.80978,40.0,0.18844,-0.47646,359.99893,1
0.071,0.00997,0.00078,-0.00090,0.02989,0.07355,-9.80953,40.0,0.18660,-0.49517,359.99884,1
0.081,0.00223,-0.03993,-0.00309,0.02454,0.07572,-9.80936,40.0,0.18830,-0.46868,359.99890,1
0.091,0.04328,-0.03370,-0.00615,0.03735,0.06482,-9.80947,40.0,0.17590,-0.47802,359.99884,1
0.101,-0.02909,-0.07488,-0.00607,0.03036,0.05761,-9.81522,40.0,0.17915,-0.45513,359.99887,1
0.111,0.03150,-0.06856,-0.00516,0.03060,0.06378,-9.81749,40.0,0.18580,-0.47289,359.99875,1
0.121,0.07562,0.08453,-0.00681,0.02798,0.06011,-9.80063,40.0,0.19080,-0.44989,359.99878,1
0.131,0.07117,0.03534,-0.00690,0.03559,0.07070,-9.80907,40.0,0.21194,-0.45909,359.99866,1
0.141,0.06992,-0.04796,-0.00788,0.04151,0.07180,-9.80939,40.0,0.20842,-0.43509,359.99869,1
0.151,0.06884,0.00624,-0.00701,0.03790,0.07215,-9.80648,40.0,0.22902,-0.44518,359.99857,1
0.161,0.06956,-0.12361,-0.00293,0.02467,0.07514,-9.80521,40.0,0.21643,-0.42734,359.99857,1
0.171,0.02505,-0.08746,0.00066,0.01968,0.07922,-9.79884,40.0,0.20784,-0.45121,359.99844,1
0.181,0.00726,0.03387,0.00093,0.01764,0.08970,-9.80233,40.0,0.18416,-0.44310,359.99844,1
0.191,0.02331,-0.02717,-0.00068,0.02588,0.07599,-9.80079,40.0,0.17704,-0.46837,359.99835,1
0.201,-0.03686,-0.05088,-0.00322,0.02600,0.07075,-9.80604,40.0,0.15339,-0.45930,359.99838,1
0.211,-0.01552,-0.08116,-0.00574,0.02310,0.07167,-9.80508,40.0,0.14165,-0.47969,359.99832,1
0.221,0.01475,-0.09260,-0.00476,0.02211,0.06015,-9.80173,40.0,0.14351,-0.45655,359.99835,1
0.231,-0.04041,-0.03287,-0.00231,0.03346,0.06477,-9.80359,40.0,0.16221,-0.45148,359.99835,1
0.241,0.02671,0.01200,-0.00324,0.04067,0.05771,-9.81609,40.0,0.16179,-0.42323,359.99838,1
0.251,0.11881,0.00803,-0.00233,0.03458,0.06676,-9.81194,40.0,0.18088,-0.42190,359.99835,1
0.261,0.02079,0.09172,-0.00244,0.03522,0.06432,-9.81332,40.0,0.18767,-0.39328,359.99838,1
0.271,0.09460,0.01685,-0.00271,0.03540,0.07229,-9.81388,40.0,0.20804,-0.39730,359.99835,1
0.281,0.07857,-0.01202,-0.00509,0.02666,0.07227,-9.81101,40.0,0.18451,-0.39743,359.99832,1
0.291,-0.03817,-0.00221,-0.00574,0.02624,0.08413,-9.80705,40.0,0.19849,-0.41569,359.99823,1
