#2025/08/25 17:51:33
time,wx, wy, wz, ax, ay, az, Tx, Ty, Tz, TAcc
0.623,0.00056,0.00539,0.00218,0.02956,-0.02816,0.96662,38.068,37.956,37.094,39.139
0.633,0.00047,0.00554,0.00218,0.02586,-0.02765,0.96743,38.068,38.021,37.094,39.360
0.643,0.00043,0.00563,0.00205,0.02644,-0.02336,0.96767,38.068,38.021,37.094,39.249
0.653,0.00030,0.00554,0.00196,0.02582,-0.02648,0.97036,38.068,38.021,37.094,39.139
0.663,0.00030,0.00546,0.00191,0.03124,-0.02601,0.96724,38.068,38.021,37.094,39.249
0.673,0.00043,0.00546,0.00178,0.03077,-0.02644,0.96981,38.068,38.021,37.094,39.360
0.683,0.00052,0.00541,0.00165,0.03042,-0.02675,0.96841,38.068,38.021,37.094,39.139
0.693,0.00039,0.00546,0.00160,0.02582,-0.02769,0.96825,38.068,38.021,37.094,39.139
0.703,0.00030,0.00554,0.00160,0.02785,-0.02593,0.96638,38.068,38.021,37.094,39.139
0.713,0.00021,0.00586,0.00165,0.02847,-0.02613,0.96790,38.068,38.021,37.094,39.249
0.723,0.00007,0.00595,0.00169,0.02699,-0.02336,0.96786,38.068,38.021,37.094,39.139
0.733,0.00012,0.00595,0.00165,0.02597,-0.02652,0.96974,38.064,38.021,37.094,39.139
0.743,0.00016,0.00595,0.00156,0.02683,-0.02781,0.97075,38.064,38.021,37.094,39.249
0.753,0.00021,0.00590,0.00142,0.02808,-0.02359,0.96779,38.064,38.021,37.094,39.249
0.763,0.00030,0.00581,0.00147,0.02796,-0.02387,0.96915,38.064,38.021,37.094,39.139
0.773,0.00039,0.00559,0.00147,0.02551,-0.02734,0.96708,38.064,38.021,37.094,39.139
0.783,0.00034,0.00541,0.00160,0.02644,-0.02582,0.96934,38.064,38.021,37.115,39.139
0.793,0.00057,0.00519,0.00165,0.02890,-0.02765,0.96677,38.064,38.021,37.115,39.360
0.803,0.00052,0.00470,0.00156,0.02430,-0.02629,0.96634,38.064,38.021,37.115,39.470
0.813,0.00079,0.00416,0.00156,0.02703,-0.02543,0.97176,38.064,38.021,37.115,39.139
0.823,0.00132,0.00345,0.00156,0.02929,-0.02644,0.96958,38.064,38.021,37.115,39.139
0.833,0.00177,0.00256,0.00156,0.02543,-0.02551,0.96966,38.064,38.017,37.115,39.139
0.843,0.00239,0.00136,0.00156,0.02855,-0.02535,0.96884,38.064,38.017,37.115,39.139
0.853,0.00244,0.00060,0.00156,0.02593,-0.02215,0.96662,38.064,38.017,37.115,39.360
0.863,0.00199,0.00087,0.00174,0.02952,-0.02812,0.96291,38.064,38.017,37.115,39.360
0.873,0.00182,0.00145,0.00201,0.02808,-0.02348,0.96623,38.064,38.017,37.115,39.249
0.883,0.00168,0.00220,0.00232,0.02652,-0.02683,0.96767,38.064,38.017,37.115,39.139
0.893,0.00146,0.00283,0.00250,0.02859,-0.02703,0.96833,38.064,38.017,37.115,39.360
0.903,0.00132,0.00350,0.00285,0.03389,-0.02141,0.96626,38.064,38.017,37.115,39.360
0.913,0.00115,0.00399,0.00312,0.03077,-0.03069,0.96779,38.064,38.017,37.115,39.249
0.923,0.00043,0.00457,0.00335,0.02839,-0.02964,0.96895,38.064,38.017,37.115,39.139
0.933,-0.00015,0.00555,0.00357,0.02972,-0.02660,0.96923,38.071,38.017,37.115,39.139
0.943,-0.00090,0.00688,0.00366,0.03350,-0.02773,0.96771,38.071,38.017,37.115,39.360
0.953,-0.00184,0.00871,0.00384,0.02960,-0.02683,0.96872,38.071,38.017,37.115,39.360
0.963,-0.00300,0.01103,0.00410,0.02867,-0.02554,0.96872,38.071,38.017,37.115,39.249
0.973,-0.00438,0.01379,0.00433,0.02902,-0.02488,0.96728,38.071,38.017,37.115,39.470
0.983,-0.00505,0.01646,0.00451,0.02851,-0.02543,0.96966,38.071,38.017,37.115,39.470
0.993,-0.00558,0.01856,0.00446,0.02750,-0.02691,0.97032,38.071,38.017,37.115,39.360
1.003,-0.00616,0.02061,0.00419,0.02980,-0.02379,0.96923,38.071,38.017,37.115,39.139
1.013,-0.00661,0.02252,0.00384,0.02633,-0.02359,0.96806,38.071,38.017,37.115,39.028
1.023,-0.00710,0.02453,0.00330,0.02796,-0.02753,0.96607,38.071,38.017,37.115,39.470
1.033,-0.00794,0.02714,0.00249,0.02788,-0.02710,0.97235,38.071,38.069,37.115,39.360
1.043,-0.01044,0.03226,0.00151,0.02952,-0.02613,0.96876,38.071,38.069,37.115,39.139
1.053,-0.01249,0.04015,0.00035,0.02851,-0.02835,0.96100,38.071,38.069,37.115,39.249
1.063,-0.01445,0.04866,-0.00108,0.02578,-0.02609,0.96611,38.071,38.069,37.115,39.360
1.073,-0.01583,0.05691,-0.00269,0.03034,-0.02812,0.97157,38.071,38.069,37.115,39.360
1.083,-0.01752,0.06462,-0.00461,0.03007,-0.02827,0.96275,38.071,38.069,37.115,39.139
1.093,-0.01949,0.07197,-0.00640,0.02750,-0.02679,0.96892,38.071,38.069,37.115,39.470
1.103,-0.02064,0.07923,-0.00739,0.02718,-0.03416,0.96970,38.071,38.069,37.115,39.249
1.113,-0.02234,0.08520,-0.00757,0.02652,-0.03218,0.96295,38.071,38.069,37.115,39.360
1.123,-0.02314,0.08993,-0.00752,0.03019,-0.02804,0.96966,38.071,38.069,37.115,39.360
1.133,-0.02390,0.09349,-0.00761,0.02714,-0.02913,0.96767,38.064,38.069,37.115,39.249
1.143,-0.02501,0.09603,-0.00770,0.02800,-0.02851,0.96899,38.064,38.069,37.115,39.360
1.153,-0.02555,0.09777,-0.00729,0.02582,-0.02831,0.96915,38.064,38.069,37.115,39.139
1.163,-0.02555,0.09821,-0.00667,0.02324,-0.02929,0.96845,38.064,38.069,37.115,39.139
1.173,-0.02381,0.09581,-0.00613,0.02309,-0.02434,0.96934,38.064,38.069,37.115,39.249
1.183,-0.02180,0.09002,-0.00573,0.02660,-0.02133,0.97375,38.064,38.069,37.142,39.360
1.193,-0.01970,0.08275,-0.00492,0.02722,-0.02605,0.96322,38.064,38.069,37.142,39.360
1.203,-0.01810,0.07527,-0.00354,0.02769,-0.02831,0.96786,38.064,38.069,37.142,39.249
1.213,-0.01600,0.06787,-0.00180,0.03132,-0.02328,0.96747,38.064,38.069,37.142,39.139
1.223,-0.01342,0.06043,-0.00036,0.02305,-0.02605,0.96486,38.064,38.069,37.142,39.470
1.233,-0.01182,0.05281,0.00004,0.02742,-0.02718,0.96681,38.064,38.065,37.142,39.249
1.243,-0.00959,0.04595,-0.00005,0.02812,-0.02714,0.96767,38.064,38.065,37.142,39.139
1.253,-0.00812,0.03971,0.00017,0.02894,-0.02804,0.96747,38.064,38.065,37.142,39.249
1.263,-0.00674,0.03414,0.00102,0.02636,-0.02995,0.96931,38.064,38.065,37.142,39.249
1.273,-0.00522,0.02932,0.00174,0.02679,-0.03062,0.97278,38.064,38.065,37.142,39.139
1.283,-0.00442,0.02514,0.00169,0.02909,-0.02882,0.96576,38.064,38.065,37.142,39.139
1.293,-0.00371,0.02170,0.00120,0.03155,-0.03065,0.96747,38.064,38.065,37.142,39.249
1.303,-0.00295,0.01912,0.00084,0.02851,-0.02539,0.96537,38.064,38.065,37.142,39.139
1.313,-0.00259,0.01725,0.00093,0.03062,-0.02636,0.97079,38.064,38.065,37.142,39.139
1.323,-0.00250,0.01609,0.00107,0.02730,-0.02391,0.96541,38.064,38.065,37.142,39.139
1.333,-0.00241,0.01529,0.00084,0.02816,-0.02543,0.96346,38.067,38.065,37.142,39.139
1.343,-0.00215,0.01431,0.00057,0.02418,-0.02769,0.97118,38.067,38.065,37.142,39.249
1.353,-0.00170,0.01324,0.00075,0.02859,-0.02617,0.96650,38.067,38.065,37.142,39.139
1.363,-0.00143,0.01190,0.00138,0.03097,-0.02496,0.96751,38.067,38.065,37.142,39.249
1.373,-0.00108,0.01070,0.00174,0.03128,-0.02703,0.97052,38.067,38.065,37.142,39.249
1.383,-0.00077,0.00994,0.00151,0.02777,-0.02742,0.96814,38.067,38.065,37.099,39.249
1.393,-0.00055,0.00945,0.00098,0.02905,-0.02718,0.96923,38.067,38.065,37.099,39.360
1.403,-0.00042,0.00923,0.00080,0.02742,-0.02905,0.96642,38.067,38.065,37.099,39.139
1.413,-0.00010,0.00927,0.00120,0.03073,-0.02570,0.96275,38.067,38.065,37.099,39.249
1.423,0.00021,0.00936,0.00169,0.02391,-0.02855,0.96693,38.067,38.065,37.099,39.360
1.433,0.00034,0.00898,0.00200,0.02726,-0.02699,0.96767,38.067,38.125,37.099,39.249
1.443,0.00048,0.00836,0.00214,0.03104,-0.02430,0.96771,38.067,38.125,37.099,39.249
1.453,0.00074,0.00751,0.00236,0.02695,-0.02671,0.96903,38.067,38.125,37.099,39.360
1.463,0.00079,0.00653,0.00263,0.02605,-0.02722,0.96864,38.067,38.125,37.099,39.139
1.473,0.00034,0.00582,0.00263,0.02289,-0.02597,0.96591,38.067,38.125,37.099,39.360
1.483,0.00007,0.00546,0.00209,0.02894,-0.02441,0.96451,38.067,38.125,37.099,39.360
1.493,0.00012,0.00555,0.00147,0.02660,-0.02098,0.96642,38.067,38.125,37.099,39.360
1.503,-0.00019,0.00582,0.00129,0.02543,-0.02293,0.97040,38.067,38.125,37.099,39.139
1.513,-0.00010,0.00586,0.00147,0.02137,-0.02293,0.96958,38.067,38.125,37.099,39.360
1.523,-0.00010,0.00568,0.00160,0.02636,-0.02964,0.96977,38.067,38.125,37.099,39.139
1.533,0.00003,0.00542,0.00147,0.02812,-0.02644,0.97024,38.064,38.125,37.099,39.249
1.543,-0.00006,0.00515,0.00116,0.03097,-0.02882,0.96942,38.064,38.125,37.099,39.139
1.553,-0.00019,0.00493,0.00129,0.03159,-0.02944,0.97289,38.064,38.125,37.099,39.139
