#2025/09/05 10:51:25
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,TAcc,pitch,roll,yaw
0.443,-0.02308,-0.05104,0.99674,9.73567,0.11092,-0.06608,42.868,42.354,41.367,49.636,0.72138,-37.24759,-9.17231
0.453,-0.02330,-0.05104,0.99840,9.78153,0.11771,-0.14914,42.868,42.354,41.367,49.636,0.71487,-37.83016,-9.16451
0.463,-0.02343,-0.05099,1.00122,9.79506,0.11976,-0.15593,42.868,42.354,41.367,49.415,0.70845,-38.40682,-9.15674
0.473,-0.02348,-0.05108,1.00403,9.78256,0.13417,-0.16329,42.868,42.354,41.367,49.747,0.70294,-38.97771,-9.14902
0.483,-0.02317,-0.05099,1.00497,9.77149,0.10086,-0.10286,42.868,42.354,41.346,49.636,0.69530,-39.53857,-9.14135
0.493,-0.02285,-0.05095,1.00439,9.80761,0.08895,-0.11550,42.868,42.354,41.346,49.636,0.68689,-40.09412,-9.13375
0.503,-0.02272,-0.05095,1.00184,9.80753,0.13647,-0.13586,42.868,42.354,41.346,49.636,0.68154,-40.64493,-9.12624
0.513,-0.02259,-0.05113,0.99764,9.78008,0.10963,-0.14830,42.868,42.354,41.346,49.636,0.67451,-41.19057,-9.11881
0.523,-0.02250,-0.05108,0.99379,9.74985,0.16176,-0.18007,42.868,42.354,41.346,49.747,0.67086,-41.73234,-9.11148
0.533,-0.02263,-0.05086,0.99249,9.75676,0.13069,-0.08177,42.868,42.263,41.346,49.636,0.66521,-42.26198,-9.10423
0.543,-0.02281,-0.05059,0.99285,9.81142,0.11413,-0.17271,42.868,42.263,41.346,49.636,0.65845,-42.79158,-9.09703
0.553,-0.02294,-0.05064,0.99379,9.84129,0.14397,-0.19284,42.868,42.263,41.346,49.747,0.65355,-43.31666,-9.08990
0.563,-0.02285,-0.05050,0.99393,9.79720,0.10326,-0.16065,42.868,42.263,41.346,49.747,0.64610,-43.83406,-9.08282
0.573,-0.02276,-0.05050,0.99312,9.79210,0.14920,-0.17861,42.868,42.263,41.346,49.747,0.64160,-44.34699,-9.07581
0.583,-0.02259,-0.05041,0.99178,9.76090,0.12101,-0.12070,42.868,42.263,41.346,49.747,0.63533,-44.85071,-9.06888
0.593,-0.02250,-0.05041,0.99133,9.77329,0.10630,-0.08760,42.868,42.263,41.346,49.415,0.62812,-45.34684,-9.06201
0.603,-0.02254,-0.05032,0.99218,9.76205,0.13320,-0.15373,42.868,42.263,41.346,49.415,0.62265,-45.84180,-9.05520
0.613,-0.02263,-0.05019,0.99334,9.76552,0.12877,-0.23049,42.868,42.263,41.346,49.636,0.61688,-46.33626,-9.04844
0.623,-0.02272,-0.05010,0.99375,9.78581,0.09804,-0.19204,42.868,42.263,41.346,49.636,0.60915,-46.82288,-9.04174
0.633,-0.02285,-0.05015,0.99375,9.77932,0.10277,-0.13218,42.872,42.263,41.346,49.747,0.60175,-47.30044,-9.03511
0.643,-0.02308,-0.05001,0.99500,9.77553,0.15841,-0.12124,42.872,42.263,41.346,49.747,0.59790,-47.77211,-9.02853
0.653,-0.02317,-0.04988,0.99580,9.77403,0.13219,-0.15246,42.872,42.263,41.346,49.636,0.59238,-48.24065,-9.02201
0.663,-0.02312,-0.04988,0.99728,9.77518,0.12271,-0.12225,42.872,42.263,41.346,49.415,0.58624,-48.70218,-9.01554
