#2025/09/02 11:20:40
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,TAcc,pitch,roll,yaw
0.023,-0.00288,-0.00675,-0.00366,0.03389,-0.03089,0.97293,43.458,43.939,42.568,45.327,-1.92201,-1.99717,-0.00000
0.033,-0.00288,-0.00665,-0.00365,0.03015,-0.03350,0.96970,43.458,43.937,42.568,45.327,-1.92262,-1.99482,-0.00000
0.043,-0.00285,-0.00648,-0.00365,0.02804,-0.03299,0.97480,43.458,43.937,42.568,44.995,-1.92278,-1.99105,-0.00000
0.053,-0.00287,-0.00645,-0.00365,0.03108,-0.03155,0.96556,43.458,43.937,42.568,45.106,-1.92222,-1.98945,-0.00000
0.063,-0.00288,-0.00646,-0.00365,0.03077,-0.03077,0.97016,43.458,43.937,42.568,44.995,-1.92106,-1.98758,-0.00000
0.073,-0.00293,-0.00648,-0.00365,0.03065,-0.03190,0.96892,43.458,43.937,42.568,45.216,-1.92067,-1.98567,-0.00000
0.083,-0.00299,-0.00654,-0.00363,0.03069,-0.03143,0.97028,43.458,43.937,42.568,45.106,-1.91995,-1.98379,-0.00000
0.093,-0.00298,-0.00652,-0.00362,0.03627,-0.03413,0.96993,43.458,43.937,42.568,45.106,-1.92097,-1.98550,-0.00000
0.103,-0.00295,-0.00648,-0.00358,0.03413,-0.03662,0.96677,43.458,43.937,42.568,45.327,-1.92365,-1.98589,-0.00000
0.113,-0.00298,-0.00648,-0.00355,0.03171,-0.03732,0.97048,43.458,43.937,42.568,45.216,-1.92666,-1.98465,-0.00000
0.123,-0.00298,-0.00648,-0.00354,0.03420,-0.03108,0.97126,43.458,43.937,42.568,45.216,-1.92563,-1.98499,-0.00000
0.133,-0.00295,-0.00645,-0.00352,0.03627,-0.03303,0.96989,43.459,43.937,42.568,44.995,-1.92589,-1.98669,-0.00000
0.143,-0.00298,-0.00644,-0.00350,0.03428,-0.03658,0.96763,43.459,43.937,42.568,45.216,-1.92847,-1.98715,-0.00000
0.153,-0.00302,-0.00645,-0.00348,0.03221,-0.03483,0.97001,43.459,43.937,42.568,44.995,-1.92984,-1.98623,-0.00000
0.163,-0.00304,-0.00651,-0.00347,0.03163,-0.03580,0.96806,43.459,43.937,42.568,44.995,-1.93187,-1.98498,-0.00000
0.173,-0.00304,-0.00655,-0.00346,0.03159,-0.03650,0.96615,43.459,43.937,42.568,44.995,-1.93438,-1.98377,-0.00000
0.183,-0.00303,-0.00651,-0.00345,0.03510,-0.03260,0.96903,43.459,43.937,42.570,45.216,-1.93428,-1.98475,-0.00000
0.193,-0.00305,-0.00647,-0.00342,0.02898,-0.03397,0.97016,43.459,43.937,42.570,45.216,-1.93505,-1.98178,-0.00000
0.203,-0.00303,-0.00643,-0.00341,0.03101,-0.03366,0.96942,43.459,43.937,42.570,44.995,-1.93561,-1.98015,-0.00000
0.213,-0.00304,-0.00643,-0.00340,0.03420,-0.03440,0.97122,43.459,43.937,42.570,45.106,-1.93661,-1.98055,-0.00000
0.223,-0.00303,-0.00648,-0.00338,0.03147,-0.03155,0.97235,43.459,43.937,42.570,45.327,-1.93575,-1.97917,-0.00000
0.233,-0.00309,-0.00649,-0.00336,0.03284,-0.03545,0.97126,43.459,43.953,42.570,45.106,-1.93741,-1.97871,-0.00000
0.243,-0.00307,-0.00647,-0.00334,0.03218,-0.03643,0.97504,43.459,43.953,42.570,45.216,-1.93959,-1.97775,-0.00000
