#2025/09/15 16:30:37
# data rotate to sensor frame
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw
0.014,0.00509,0.00097,-0.00025,-0.02904,0.02390,9.74194,37.350,38.393,38.539,44.332,-0.05144,0.04587,-0.00024
0.024,0.00531,0.00092,-0.00011,-0.00986,-0.01639,9.79612,37.350,38.393,38.539,44.111,0.04097,-0.01913,-0.00023
0.034,0.00526,0.00088,-0.00016,0.04428,-0.00364,9.74804,37.350,38.393,38.539,44.222,0.03305,0.09304,-0.00016
0.044,0.00535,0.00092,-0.00016,-0.00955,0.00650,9.75097,37.350,38.393,38.539,44.332,-0.01528,-0.00808,-0.00018
0.054,0.00540,0.00052,-0.00016,-0.00366,-0.01443,9.78689,37.350,38.393,38.539,44.443,0.09593,-0.02298,-0.00019
0.064,0.00544,0.00017,-0.00007,0.03384,0.01480,9.79011,37.350,38.393,38.539,44.332,0.02426,0.06373,-0.00010
0.074,0.00553,0.00052,-0.00007,-0.01968,0.00454,9.77667,37.387,38.393,38.539,44.332,-0.00653,-0.04442,-0.00012
0.084,0.00544,0.00088,0.00007,-0.00518,0.04470,9.79823,37.387,38.393,38.539,44.332,-0.11914,-0.03818,-0.00012
0.094,0.00589,0.00102,-0.00007,0.00469,0.01849,9.72966,37.387,38.393,38.539,44.332,-0.10193,0.07244,-0.00034
0.104,0.00593,0.00115,-0.00020,0.03991,-0.02861,9.75458,37.387,38.393,38.539,44.332,-0.00620,0.12990,-0.00039
0.114,0.00607,0.00106,-0.00002,0.01108,-0.01886,9.78617,37.387,38.393,38.539,44.332,0.09153,0.07535,-0.00043
0.124,0.00607,0.00097,0.00020,0.01695,0.01795,9.75544,37.387,38.381,38.539,44.001,-0.01941,0.08897,-0.00043
0.134,0.00616,0.00098,0.00007,-0.00354,-0.01946,9.77284,37.387,38.381,38.539,44.332,0.06688,0.01798,-0.00045
0.144,0.00660,0.00089,-0.00003,0.01563,-0.01266,9.78817,37.387,38.381,38.539,44.222,0.07781,0.12949,-0.00031
0.154,0.00665,0.00080,-0.00020,0.04759,0.03601,9.77036,37.387,38.381,38.539,44.332,-0.02173,0.18097,-0.00029
0.164,0.00674,0.00067,-0.00029,-0.00975,0.05144,9.76360,37.387,38.381,38.539,44.222,-0.10703,0.10850,-0.00020
0.174,0.00678,0.00053,-0.00034,-0.01382,0.00608,9.75658,37.387,38.381,38.539,44.332,-0.06779,0.00397,-0.00004
0.184,0.00660,0.00049,-0.00047,-0.01337,0.00261,9.75097,37.387,38.381,38.539,44.111,-0.00811,-0.09007,0.00002
0.194,0.00660,0.00027,-0.00065,0.03355,-0.00459,9.72990,37.387,38.381,38.539,44.222,0.00527,0.02002,0.00003
0.204,0.00674,0.00018,-0.00065,0.00266,-0.00952,9.73904,37.387,38.381,38.539,44.332,0.11545,0.01056,0.00002
