#2022-01-27 20:10:44
2.08200, -0.00049, 68, 35.5
2.09210, 0.00049, 29, 35.5
2.10210, -0.00049, 78, 35.5
2.11220, -0.00098, 82, 35.5
2.12230, 0.00098, 10, 35.5
2.13230, 0.00000, 34, 35.5
2.14240, -0.00049, 114, 35.5
2.15250, 0.00000, 82, 35.5
2.16250, 0.00000, 102, 35.5
2.17260, -0.00049, 24, 35.5
2.18270, 0.00000, 90, 35.5
2.19270, 0.00000, 103, 35.5
2.20280, 0.00000, 58, 35.5
2.21280, 0.00049, 96, 35.5
2.22290, -0.00049, 42, 35.5
2.23290, 0.00000, 67, 35.5
2.24290, 0.00000, 4, 35.5
2.25290, 0.00000, 131, 35.5
2.26290, -0.00049, 102, 35.5
2.27300, -0.00049, 50, 35.5
2.28300, 0.00000, 6, 35.5
2.29300, -0.00049, 100, 35.5
2.30310, -0.00049, 121, 35.5
2.31320, 0.00000, 68, 35.5
2.32320, 0.00049, 59, 35.5
2.33330, -0.00049, 45, 35.5
2.34340, -0.00049, 18, 35.5
2.35350, -0.00098, 38, 35.5
2.36350, 0.00000, 102, 35.5
2.37360, 0.00049, 54, 35.5
2.38370, -0.00049, 42, 35.5
2.39370, 0.00000, 127, 35.5
2.40380, -0.00049, 138, 35.5
2.41390, 0.00049, 6, 35.5
2.42390, -0.00098, 86, 35.5
2.43400, 0.00000, 100, 35.5
2.44410, 0.00000, 58, 35.5
2.45410, -0.00049, 56, 35.5
2.46420, 0.00049, 74, 35.5
2.47430, -0.00049, 69, 35.5
2.48430, 0.00049, 97, 35.5
2.49440, 0.00049, 60, 35.5
2.50450, 0.00049, 100, 35.5
2.51460, 0.00049, 42, 35.5
2.52460, 0.00000, 56, 35.5
2.53460, 0.00049, 128, 35.5
2.54470, 0.00000, 8, 35.5
2.55470, -0.00049, 38, 35.5
2.56470, -0.00049, 76, 35.5
2.57470, -0.00098, 114, 35.5
2.58470, 0.00049, 57, 35.5
2.59480, 0.00049, 118, 35.5
2.60480, 0.00098, 96, 35.5
2.61480, 0.00000, 111, 35.5
2.62490, 0.00098, 87, 35.5
2.63500, 0.00049, 70, 35.5
2.64500, 0.00098, 97, 35.5
2.65510, -0.00098, 83, 35.5
2.66520, 0.00000, 64, 35.5
2.67520, -0.00098, 80, 35.5
2.68530, 0.00049, 72, 35.5
2.69540, -0.00049, 72, 35.5
2.70550, -0.00049, 24, 35.5
2.71550, 0.00000, 37, 35.5
2.72560, -0.00049, 42, 35.5
2.73570, 0.00000, 122, 35.5
2.74570, 0.00000, 120, 35.5
2.75580, 0.00000, 88, 35.5
2.76590, -0.00049, -2, 35.5
2.77590, 0.00049, 36, 35.5
2.78600, 0.00000, 55, 35.5
2.79610, 0.00000, 24, 35.5
2.80610, 0.00000, 30, 35.5
2.81620, 0.00049, 107, 35.5
2.82630, -0.00049, 106, 35.5
2.83630, 0.00049, 92, 35.5
2.84640, 0.00000, 6, 35.5
2.85640, 0.00049, 73, 35.5
2.86650, -0.00049, 7, 35.5
2.87650, 0.00000, 14, 35.5
2.88650, 0.00049, 93, 35.5
2.89650, 0.00000, 78, 35.5
2.90650, -0.00049, 70, 35.5
2.91660, 0.00049, 118, 35.5
2.92660, 0.00049, 83, 35.5
2.93660, 0.00000, 14, 35.5
2.94670, 0.00049, 41, 35.5
2.95680, 0.00000, 72, 35.5
2.96680, 0.00049, 68, 35.5
2.97690, 0.00000, -2, 35.5
2.98700, -0.00049, 36, 35.5
2.99700, 0.00000, 105, 35.5
3.00710, -0.00049, 91, 35.5
3.01720, -0.00049, 72, 35.5
