股利,,股利,股利政策,,,,,,,,,現金殖利率,,,,,,,,,,
發放,,所屬,股東股利 (元/股),,,,,,,填息,填權,,,,,,,,,,,
期間,,期間,現金股利,,,股票股利,,,股利,花費,花費,股價,除息前,,年均價,,成交價,,最高價,,最低價,
,,,盈餘,公積,合計,盈餘,公積,合計,合計,日數,日數,年度,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2026,,25Q4,0.42,0,0.42,0,0,0,0.42,-,-,2026,24,7,22.7,7.4,22.47,7.48,24.1,6.97,21.28,7.89
,,,,,,,,,,,,,,(年化),,(年化),,(年化),,(年化),,(年化)
    ∟,2/26 ,25Q4,0.42,0,0.42,0,0,0,0.42,-,-,∟,24,1.75,-,1.85,-,1.87,-,1.74,-,1.97
2025,,-,1.77,0,1.77,0,0,0,1.77,-,-,2025,-,8.17,21.2,8.35,21.71,8.15,23.04,7.68,17.73,9.98
    ∟,11/18 ,25Q3,0.4,0,0.4,0,0,0,0.4,12,-,∟,21.11,1.89,-,1.89,-,1.84,-,1.74,-,2.26
    ∟,8/18 ,25Q2,0.4,0,0.4,0,0,0,0.4,25,-,∟,21.16,1.89,-,1.89,-,1.84,-,1.74,-,2.26
    ∟,5/19 ,25Q1,0.47,0,0.47,0,0,0,0.47,43,-,∟,21.26,2.21,-,2.22,-,2.16,-,2.04,-,2.65
    ∟,2/20 ,24Q4,0.5,0,0.5,0,0,0,0.5,228,-,∟,22.96,2.18,-,2.36,-,2.3,-,2.17,-,2.82
2024,,-,2.01,0,2.01,0,0,0,2.01,-,-,2024,-,8.75,22.6,8.89,22.18,9.06,24.66,8.15,20.75,9.69
    ∟,11/18 ,24Q3,0.55,0,0.55,0,0,0,0.55,58,-,∟,22.73,2.42,-,2.43,-,2.48,-,2.23,-,2.65
    ∟,8/16 ,24Q2,0.55,0,0.55,0,0,0,0.55,30,-,∟,23.13,2.38,-,2.43,-,2.48,-,2.23,-,2.65
    ∟,5/17 ,24Q1,0.51,0,0.51,0,0,0,0.51,7,-,∟,23.57,2.16,-,2.26,-,2.3,-,2.07,-,2.46
    ∟,2/27 ,23Q4,0.4,0,0.4,0,0,0,0.4,8,-,∟,22.41,1.78,-,1.77,-,1.8,-,1.62,-,1.93
2023,,-,1.24,0,1.24,0,0,0,1.24,-,-,2023,-,6.4,19.2,6.44,21.8,5.69,22.89,5.42,16.04,7.73
    ∟,11/16 ,23Q3,0.35,0,0.35,0,0,0,0.35,4,-,∟,20.69,1.69,-,1.82,-,1.61,-,1.53,-,2.18
    ∟,8/16 ,23Q2,0.35,0,0.35,0,0,0,0.35,3,-,∟,21.43,1.63,-,1.82,-,1.61,-,1.53,-,2.18
    ∟,5/17 ,23Q1,0.27,0,0.27,0,0,0,0.27,3,-,∟,17.97,1.5,-,1.4,-,1.24,-,1.18,-,1.68
    ∟,2/16 ,22Q4,0.27,0,0.27,0,0,0,0.27,6,-,∟,17.16,1.57,-,1.4,-,1.24,-,1.18,-,1.68
2022,,-,1.18,0,1.18,0,0,0,1.18,-,-,2022,-,6.59,17.5,6.75,16.17,7.3,19.78,5.97,15.33,7.7
    ∟,11/16 ,22Q3,0.28,0,0.28,0,0,0,0.28,12,-,∟,16.77,1.67,-,1.6,-,1.73,-,1.42,-,1.83
    ∟,8/16 ,22Q2,0.28,0,0.28,0,0,0,0.28,133,-,∟,17.33,1.62,-,1.6,-,1.73,-,1.42,-,1.83
    ∟,5/18 ,22Q1,0.32,0,0.32,0,0,0,0.32,11,-,∟,17.89,1.79,-,1.83,-,1.98,-,1.62,-,2.09
    ∟,2/22 ,21Q4,0.3,0,0.3,0,0,0,0.3,332,-,∟,19.75,1.52,-,1.72,-,1.86,-,1.52,-,1.96
2021,,-,0.98,0,0.98,0,0,0,0.98,-,-,2021,-,5.43,18.1,5.41,19.17,5.11,19.28,5.08,16.02,6.12
    ∟,11/16 ,21Q3,0.28,0,0.28,0,0,0,0.28,17,-,∟,18.85,1.49,-,1.55,-,1.46,-,1.45,-,1.75
    ∟,8/17 ,21Q2,0.3,0,0.3,0,0,0,0.3,12,-,∟,18.2,1.65,-,1.66,-,1.56,-,1.56,-,1.87
    ∟,5/18 ,21Q1,0.25,0,0.25,0,0,0,0.25,1,-,∟,17.48,1.43,-,1.38,-,1.3,-,1.3,-,1.56
    ∟,2/25 ,20Q4,0.15,0,0.15,0,0,0,0.15,1,-,∟,17.37,0.86,-,0.83,-,0.78,-,0.78,-,0.94
2020,,20Q3,0.05,0,0.05,0,0,0,0.05,1,-,2020,15.1,0.33,15.1,0.33,16.14,0.31,16.2,0.31,14.2,0.35
    ∟,11/17 ,20Q3,0.05,0,0.05,0,0,0,0.05,1,-,∟,15.1,0.33,-,0.33,-,0.31,-,0.31,-,0.35
累計,,,7.65,0,7.65,0,0,0,7.65,,,,,,,,,,,,,
