#2026/01/28 10:18:08
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.407,0.19500,-0.05000,0.11500,0.03826,0.01087,-9.63654,26.630,26.630,26.630,277.094,0.03210,0.00227,0.05999
0.417,0.09000,0.12500,0.18500,0.03348,0.02521,-9.64610,26.630,26.630,26.630,277.109,0.01047,0.00136,0.05999
0.427,0.09000,0.09000,0.18500,0.03826,0.02043,-9.63175,26.630,26.630,26.630,277.109,0.02996,-0.00004,0.05999
0.437,0.19500,0.12500,0.15000,0.03348,0.02043,-9.63175,26.630,26.630,26.630,277.109,0.00893,0.00016,0.05999
0.447,0.26500,-0.12000,-0.02500,0.03348,0.01565,-9.62697,26.630,26.630,26.630,277.109,0.02907,-0.00202,0.05999
0.457,0.02000,0.12500,0.18500,0.02391,0.03000,-9.63175,26.630,26.630,26.630,277.141,0.00879,-0.00022,0.05999
0.467,0.23000,-0.15500,0.08000,0.02869,0.03478,-9.63175,26.634,26.634,26.634,277.125,0.02929,-0.00308,0.05998
0.477,0.33500,-0.15500,0.18500,0.00956,0.00608,-9.64132,26.634,26.634,26.634,277.125,0.00881,-0.00034,0.05998
0.487,0.05500,0.02000,-0.02500,0.01913,0.03478,-9.63175,26.634,26.634,26.634,277.109,0.02837,-0.00356,0.05998
0.497,0.16000,0.05500,0.04500,0.01913,0.02521,-9.63175,26.634,26.634,26.634,277.109,0.00733,-0.00048,0.05998
0.507,0.12500,0.12500,0.08000,0.01913,0.02521,-9.62697,26.634,26.634,26.634,277.125,0.02677,-0.00415,0.05998
0.517,-0.19000,0.30000,0.01000,0.02869,0.03000,-9.64610,26.634,26.634,26.634,277.125,0.00623,-0.00057,0.05998
0.527,0.30000,-0.19000,0.11500,0.02869,0.03000,-9.62697,26.634,26.634,26.634,277.141,0.02639,-0.00490,0.05998
0.537,0.05500,0.09000,0.04500,0.02869,0.03000,-9.63654,26.634,26.634,26.634,277.141,0.00670,-0.00091,0.05998
0.547,0.26500,-0.08500,0.15000,0.01913,0.03000,-9.62697,26.634,26.634,26.634,277.117,0.02700,-0.00550,0.05998
0.557,0.16000,0.02000,0.11500,0.02869,0.03478,-9.63654,26.634,26.634,26.634,277.133,0.00717,-0.00100,0.05998
0.567,0.05500,-0.01500,-0.02500,0.02869,0.02043,-9.62219,26.634,26.634,26.634,277.133,0.02681,-0.00587,0.05998
0.577,0.19500,-0.01500,0.11500,0.02391,0.03000,-9.63175,26.634,26.634,26.634,277.094,0.00638,-0.00092,0.05998
0.587,0.26500,0.05500,0.08000,0.02869,0.03000,-9.63654,26.634,26.634,26.634,277.094,0.02563,-0.00594,0.05998
0.597,0.16000,-0.01500,0.04500,0.03348,0.02521,-9.63175,26.634,26.634,26.634,277.125,0.00533,-0.00058,0.05998
0.607,0.16000,-0.05000,0.15000,0.02869,0.03478,-9.63175,26.634,26.634,26.634,277.125,0.02446,-0.00623,0.05998
0.617,0.16000,0.02000,1.09500,0.17695,0.26433,-9.63654,26.634,26.634,26.634,277.109,0.00429,-0.00038,0.06053
0.627,0.05500,0.09000,3.44000,0.26781,0.42693,-9.62697,26.634,26.634,26.634,277.109,0.02329,-0.00627,0.06389
0.637,0.26500,0.09000,8.13000,0.32999,0.53693,-9.63654,26.634,26.634,26.634,277.133,0.02240,-0.02684,0.07528
