#2026/01/28 10:23:39
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.008,0.09000,0.02000,-0.02500,0.01913,0.03956,-9.64132,32.589,32.589,32.589,27.422,0.00195,0.02493,-0.00000
0.018,0.05500,0.16000,0.15000,0.02391,0.03956,-9.64610,32.589,32.589,32.589,27.422,0.00348,0.04273,-0.00000
0.028,0.23000,0.05500,0.01000,0.01435,0.04912,-9.65567,32.589,32.589,32.589,27.414,0.00230,0.02232,-0.00000
0.038,0.23000,-0.08500,0.08000,0.02391,0.04434,-9.64132,32.589,32.589,32.589,27.414,0.00343,0.04481,-0.00000
0.048,0.16000,-0.01500,-0.02500,0.01435,0.03478,-9.63654,32.589,32.589,32.589,27.418,0.00156,0.02511,-0.00000
0.058,0.05500,-0.05000,-0.06000,0.01913,0.03000,-9.64610,32.589,32.589,32.589,27.418,0.00301,0.04735,-0.00000
0.068,0.23000,-0.08500,0.04500,0.01913,0.03000,-9.64610,32.589,32.589,32.589,27.430,0.00125,0.02773,-0.00001
0.078,0.09000,0.12500,0.08000,0.01435,0.03000,-9.64132,32.589,32.589,32.589,27.398,0.00337,0.04970,-0.00000
0.088,0.16000,-0.08500,0.08000,0.02391,0.04434,-9.65088,32.589,32.589,32.589,27.398,0.00251,0.02999,-0.00000
0.098,0.02000,-0.08500,0.01000,0.01913,0.04434,-9.63654,32.589,32.589,32.589,27.367,0.00454,0.05129,-0.00000
0.108,0.09000,-0.01500,0.01000,0.01435,0.03000,-9.64132,32.589,32.589,32.589,27.367,0.00308,0.03116,-0.00000
0.118,0.16000,0.05500,-0.06000,0.02869,0.03956,-9.62697,32.593,32.593,32.593,27.336,0.00659,0.05175,0.00000
0.128,0.02000,0.02000,0.01000,0.02391,0.04434,-9.64610,32.593,32.593,32.593,27.336,0.00428,0.03148,-0.00000
0.138,0.02000,-0.08500,0.01000,0.02869,0.03478,-9.64132,32.593,32.593,32.593,27.422,0.00752,0.05171,0.00000
0.148,0.05500,0.05500,0.08000,0.02869,0.03478,-9.64132,32.593,32.593,32.593,27.422,0.00529,0.03112,-0.00000
0.158,0.09000,-0.19000,0.01000,0.02869,0.03956,-9.64132,32.593,32.593,32.593,27.426,0.00906,0.05106,0.00000
0.168,0.12500,0.05500,-0.02500,0.01913,0.03956,-9.65088,32.593,32.593,32.593,27.414,0.00526,0.03073,0.00000
0.178,0.09000,-0.19000,0.04500,0.02391,0.03000,-9.64610,32.593,32.593,32.593,27.414,0.01023,0.05040,0.00000
0.188,0.16000,0.12500,0.01000,0.01913,0.03478,-9.63654,32.593,32.593,32.593,27.410,0.00657,0.03023,0.00000
0.198,0.16000,0.09000,0.01000,0.01913,0.02521,-9.64132,32.593,32.593,32.593,27.410,0.01286,0.04990,0.00001
0.208,0.02000,0.02000,0.01000,0.01435,0.03478,-9.64610,32.593,32.593,32.593,27.410,0.00897,0.03018,0.00000
0.218,0.26500,0.09000,0.04500,0.02391,0.04434,-9.64132,32.593,32.593,32.593,27.410,0.01469,0.05022,0.00001
0.228,0.16000,-0.22500,-0.02500,0.03348,0.03956,-9.63175,32.593,32.593,32.593,27.430,0.00951,0.03095,0.00000
0.238,0.12500,0.02000,0.22000,0.01913,0.03478,-9.65088,32.593,32.593,32.593,27.430,0.01639,0.05059,0.00001
0.248,0.09000,-0.15500,-0.02500,0.02869,0.03478,-9.64132,32.593,32.593,32.593,27.414,0.00974,0.03150,0.00000
0.258,0.23000,-0.12000,0.01000,0.02869,0.02521,-9.63654,32.593,32.593,32.593,27.438,0.01880,0.04971,0.00001
0.268,-0.05000,0.02000,0.15000,0.02391,0.03956,-9.65088,32.593,32.593,32.593,27.438,0.01256,0.03020,0.00001
0.278,0.02000,-0.01500,-0.06000,0.03348,0.03478,-9.64132,32.593,32.593,32.593,27.422,0.02393,0.04654,0.00001
0.288,0.09000,-0.15500,0.11500,0.01913,0.03478,-9.63175,32.593,32.593,32.593,27.422,0.01633,0.02706,0.00001
0.298,0.02000,-0.01500,0.04500,0.02391,0.03478,-9.63654,32.593,32.593,32.593,27.418,0.02820,0.04280,0.00001
0.308,0.16000,-0.05000,0.04500,0.02391,0.03000,-9.64610,32.593,32.593,32.593,27.418,0.01798,0.02441,0.00001
0.318,0.12500,0.02000,0.01000,0.02391,0.04434,-9.63654,32.593,32.593,32.593,27.375,0.03106,0.03944,0.00001
0.328,0.12500,-0.12000,0.01000,0.02869,0.03478,-9.63175,32.593,32.593,32.593,27.375,0.01853,0.02293,0.00000
0.338,0.05500,0.05500,0.08000,0.00956,0.03478,-9.64610,32.593,32.593,32.593,27.469,0.03302,0.03710,0.00001
0.348,0.12500,-0.05000,-0.09500,0.01913,0.03956,-9.65088,32.593,32.593,32.593,27.422,0.02009,0.02123,-0.00000
0.358,0.12500,0.23000,0.08000,0.01913,0.03478,-9.64132,32.593,32.593,32.593,27.422,0.03564,0.03478,0.00001
0.368,0.19500,-0.05000,-0.02500,0.01435,0.03956,-9.64610,32.593,32.593,32.593,27.395,0.02199,0.01996,-0.00000
0.378,0.26500,-0.08500,0.01000,0.02869,0.03478,-9.63654,32.593,32.593,32.593,27.395,0.03824,0.03295,0.00001
0.388,0.02000,-0.05000,-0.02500,0.02391,0.04434,-9.65567,32.593,32.593,32.593,27.422,0.02327,0.01950,-0.00000
0.398,0.16000,0.16000,0.11500,0.02391,0.03478,-9.65567,32.593,32.593,32.593,27.422,0.04132,0.02976,0.00001
0.408,0.12500,0.09000,0.08000,0.02391,0.03000,-9.64132,32.593,32.593,32.593,27.449,0.02562,0.01718,-0.00000
0.418,0.09000,-0.01500,0.15000,0.04782,0.03956,-9.64132,32.593,32.593,32.593,27.449,0.04412,0.02638,0.00001
0.428,0.05500,0.12500,0.04500,0.02869,0.03478,-9.64610,32.593,32.593,32.593,27.422,0.02783,0.01427,-0.00000
0.438,0.09000,0.12500,-0.09500,0.02391,0.03956,-9.64132,32.593,32.593,32.593,27.402,0.04699,0.02210,0.00000
0.448,0.09000,-0.05000,-0.02500,0.03826,0.03000,-9.65088,32.593,32.593,32.593,27.402,0.02906,0.01278,-0.00000
0.458,0.12500,-0.05000,0.01000,0.02391,0.04434,-9.64132,32.593,32.593,32.593,27.410,0.04832,0.01971,0.00000
0.468,0.05500,-0.15500,0.01000,0.01913,0.03956,-9.64132,32.593,32.593,32.593,27.410,0.02934,0.01127,-0.00001
0.478,0.09000,-0.01500,-0.09500,0.01913,0.03478,-9.65088,32.593,32.593,32.593,27.438,0.04861,0.01622,-0.00000
0.488,0.16000,-0.05000,0.11500,0.01913,0.03000,-9.63654,32.593,32.593,32.593,27.438,0.02864,0.00893,-0.00001
0.498,0.16000,-0.08500,-0.02500,0.02391,0.03478,-9.64610,32.593,32.593,32.593,27.426,0.04783,0.01254,-0.00001
0.508,0.16000,-0.01500,0.15000,0.02391,0.04434,-9.65088,32.593,32.593,32.593,27.426,0.02736,0.00624,-0.00001
0.518,0.09000,-0.01500,0.04500,0.01435,0.04912,-9.62697,32.596,32.596,32.596,27.426,0.04690,0.00805,-0.00001
0.528,0.09000,-0.08500,-0.02500,0.03348,0.03956,-9.65088,32.596,32.596,32.596,27.391,0.02613,0.00375,-0.00001
