0, -1098345333
1, 1047807744
2, -1101073801
3, 1092517071
4, -1110669765
5, -1132045790
6, 1036670404
7, 1092448548
8, 1023212983
9, 1016474448
10, -1121076336
11, 1092939564
12, 1020389203
13, 1027267057
14, 1012129981
15, 1065297631
16, -1159989492
17, -1157205816
18, 1242102548
19, 1065356280
20, -1148856078
21, -1156184043
22, 1230298336
23, 1065380332
24, -1
25, -1
26, -1
27, -1
28, -1
29, -1
{"0":-1098345333, "1":1047807744, "2":-1101073801, "3":1092517071, "4":-1110669765, "5":-1132045790, "6":1036670404, "7":1092448548, "8":1023212983, "9":1016474448, "10":-1121076336, "11":1092939564, "12":1020389203, "13":1027267057, "14":1012129981, "15":1065297631, "16":-1159989492, "17":-1157205816, "18":1242102548, "19":1065356280, "20":-1148856078, "21":-1156184043, "22":1230298336, "23":1065380332, "24":-1, "25":-1, "26":-1, "27":-1, "28":-1, "29":-1}
